mechanism,workload,propagation_time_s,execution_time_s,floor_rate,balanced_floor_rate,safe_payload_bytes,execution_capacity_gas,payload_capacity_gas,safe_common_limit,physical_binding_constraint,shared_limit,shared_target,target_limit_ratio,n_replications,burn_in_blocks,measured_blocks,daily_block_length,equilibrium_fee_wei,equilibrium_floor_bounded,equilibrium_binding_branch,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_execution_gas,equilibrium_data_gas,m_execution,m_data,m_state,included_execution,included_execution_p05,included_execution_p95,included_data,included_data_p05,included_data_p95,included_state,included_state_p05,included_state_p95,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,included_regular_metered,included_regular_metered_p05,included_regular_metered_p95,shared_gas_used,shared_gas_used_p05,shared_gas_used_p95,shared_target_utilisation,shared_target_utilisation_p05,shared_target_utilisation_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_near_limit_fraction,shared_near_limit_fraction_p05,shared_near_limit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,shared_rationed_gas,shared_rationed_gas_p05,shared_rationed_gas_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,runtime_bal_bytes,runtime_bal_bytes_p05,runtime_bal_bytes_p95,runtime_bal_floor_gas,runtime_bal_floor_gas_p05,runtime_bal_floor_gas_p95,base_fee_burn_eth_per_block,base_fee_burn_eth_per_block_p05,base_fee_burn_eth_per_block_p95,base_fee_exposure_proxy_eth_per_block,base_fee_exposure_proxy_eth_per_block_p05,base_fee_exposure_proxy_eth_per_block_p95,equilibrium_log_rmse,equilibrium_log_rmse_p05,equilibrium_log_rmse_p95,throughput_gap_from_best
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,533959303.1674208,266979651.5837104,0.5,32,7200,50400,8,26719.968495497193,False,state,113742390.1831887,266979651.5837113,90550783.97764835,23191606.20554035,1.4479558695732846,4.032547620151323,5.656315259465248,65435431.58575786,59876250.934679404,70608105.97583571,6322517.271664839,5377288.911697196,7668161.232984291,47527414.03089394,47307918.23822435,47705920.14557807,94747617.24265933,86698168.98891138,102237421.48716348,25495851.977217663,21684173.603730466,30922225.331007484,268830037.22585773,267588499.824395,269839724.08625585,120243469.21987703,108317840.16602917,130903873.41785629,270982791.181607,270699983.07570785,271311890.94398594,1.014994174927378,1.0139348878085974,1.016226852251012,48450.76665584536,21121.412070890387,91611.90085550204,0.06119752872083828,0.059070907077755724,0.06348000141896529,0.08216331845238095,0.07484623015873015,0.09203075396825397,0.08736793154761904,0.07960912698412698,0.0971795634920635,0.0,0.0,0.0,0.3996311021946536,0.38240019168266476,0.4195465908369337,19234763.780434027,15576071.336708361,23733694.361458182,0.04628038194444445,0.029802579365079365,0.06571527777777778,414276.6341657889,388674.6780718438,436994.92685690254,39770556.87991574,37312769.09489701,41951512.97826264,1.2934894874672751e-05,5.6386610572849796e-06,2.4458499285136342e-05,1.7102910412216155e-05,7.853984753099019e-06,3.113334224321774e-05,1.2276050183273164,1.0630373683846333,1.4508287996763565,0.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,82,81.18030855011673,6775042.0,550000000.0,555553444.0,550000000.0,execution,550000000.0,275000000.0,0.5,32,7200,50400,8,24459.55889629373,False,state,110791039.63142955,274999999.9999798,91525734.44585241,19265305.185577147,1.4479558695732846,3.0874605142255307,5.656315259465248,66185368.80421361,60544981.463469975,71454324.69734162,6877473.467882136,5843250.699579572,8356778.609954287,49048127.48106742,48883495.26088839,49187927.43017298,95833493.23993355,87666461.2832373,103462708.85191089,21233927.76971984,18040805.80967271,25801223.984358348,277431671.91935235,276500460.18015045,278222424.5047514,117067421.00965337,105741876.13398647,127395083.95234549,279137002.62575954,278842406.7688773,279472636.7635329,1.0150436459118528,1.013972388250463,1.016264133685574,44137.0199478509,19265.800854634785,83556.85565799817,0.06131445289238449,0.05920693466607508,0.06358014142400575,0.08281622023809523,0.07539682539682539,0.09256150793650794,0.08805741567460318,0.08069742063492064,0.09773412698412698,0.0,0.0,0.0,0.4005336284747381,0.38360360094406953,0.4202727270083095,20004591.812414095,16142917.141848426,24677447.929167464,0.03699156746031746,0.024444444444444446,0.0526031746031746,421580.4362685331,395529.3521160318,444748.91019589826,34569595.77401972,32433406.873514608,36469410.63606366,1.2137212713256007e-05,5.297765316665132e-06,2.2978103943243775e-05,1.5859479844256684e-05,7.264212113803661e-06,2.8879805609093933e-05,1.2316061915662293,1.0654861373912607,1.4550546551870265,0.0
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,64,63.04535015954887,7930799.0,500000000.0,507571136.0,500000000.0,execution,500000000.0,250000000.0,0.5,32,7200,50400,8,32513.150702776144,False,state,102135178.9179452,250000000.00000274,88423272.13360794,13711906.784337273,1.4479558695732846,2.161501805529043,5.656315259465248,63942136.18715669,58489669.972070634,69042417.33812033,6995943.793958072,5941537.30237735,8516300.75587385,44588112.65353063,44453451.29718933,44709582.43488538,92585391.40524773,84690460.94546382,99970373.4342596,15121745.14202009,12842643.60670675,18407999.460249692,252204421.99293405,251442734.90819958,252891493.3707756,107707136.54726765,97655945.05839735,117033150.1752075,253762090.88906035,253493969.63471836,254065432.37979525,1.0150483635562413,1.0139758785388733,1.0162617295191811,58740.027521369426,25630.093408147724,111256.90796758045,0.06130308609811684,0.059210834024498,0.06356133728950689,0.08268663194444444,0.07537103174603174,0.09241765873015872,0.08791604662698413,0.08064484126984127,0.09750892857142857,0.0,0.0,0.0,0.40038797950657545,0.3836659764299102,0.41997199723645806,18168710.93304833,14646274.690602686,22437501.05508343,0.0372984871031746,0.025763888888888888,0.053080357142857144,399957.30824797496,374790.6818232186,422444.54718779336,25597267.727870397,23986603.63668599,27036451.020018775,1.4684478489680866e-05,6.407161117939733e-06,2.7814217785336174e-05,1.927386473936777e-05,8.812939681712843e-06,3.516262871026871e-05,1.232126183646736,1.065828529830052,1.4561039926473933,0.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,64,49.52371938539964,9086555.0,450000000.0,581539520.0,450000000.0,execution,450000000.0,225000000.0,0.5,32,7200,50400,8,44535.26644046533,False,state,97872676.92324537,225000000.00000715,85115895.78368536,12756781.139560016,1.4479558695732846,2.161501805529043,5.656315259465248,61514194.244159505,56279079.695890896,66398454.1366672,6498603.936558321,5522435.788985322,7899440.423009887,40062076.93841502,39903302.658567466,40191712.82367155,89069838.6179019,81489623.77984828,96142031.3977799,14046744.14228895,11936754.928810053,17074654.73700483,226603737.11261642,225705659.73070335,227336998.5485666,103116582.7601907,93540262.88622957,111972101.9244565,228375167.37758636,228136022.6173076,228648230.2061318,1.0150007439003839,1.013937878299145,1.016214356471697,80914.76994925336,35252.963928533856,153181.89742749828,0.06118085327052285,0.059094569742564405,0.06344321515716013,0.08195808531746031,0.07475297619047619,0.09168353174603175,0.08716951884920635,0.07978174603174602,0.09687599206349207,0.0,0.0,0.0,0.3995121137692181,0.38290062678650066,0.4190282047025519,16194789.137400769,13079796.831574531,20024133.200321846,0.04606212797619048,0.03219444444444445,0.06648611111111111,377346.4878368638,353235.54875621357,398822.90164619434,24150175.221559282,22607075.12039767,25524665.705356438,1.8205221858931135e-05,7.931523754153933e-06,3.446596725223885e-05,2.4250393655915014e-05,1.1096479030807863e-05,4.431387443210023e-05,1.229259718342402,1.0641684945627194,1.4539439816648612,0.0
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,64,39.05368622374384,10242311.0,400000000.0,655507904.0,400000000.0,execution,400000000.0,200000000.0,0.5,32,7200,50400,8,63308.22922671631,False,state,93332376.27653272,199999999.99998695,81564794.00591955,11767582.270613175,1.4479558695732846,2.161501805529043,5.656315259465248,58895373.03587954,53898253.99714342,63538241.97413843,5980897.8354590405,5087187.539660841,7263487.04576304,35522052.71588774,35330147.38383136,35669168.5611552,85277901.07800992,78042293.23491555,92000570.40882206,12927721.470029492,10995965.052041827,15700040.36385374,200923928.824409,199838451.76632637,201756062.4249061,98205622.54803947,89142448.7690534,106543086.14232093,202985159.5124051,202775076.1532325,203228768.56923294,1.0149257975620256,1.0138753807661627,1.0161438428461647,115952.90777771476,50430.79300353097,219305.92777169115,0.061012333778740636,0.058936400495442416,0.06327942856737612,0.08096292162698412,0.07406944444444444,0.09054662698412698,0.08615327380952381,0.07861904761904762,0.09613690476190476,0.0,0.0,0.0,0.39844636631948993,0.38197146593966946,0.41786582889136475,14198755.431741074,11488740.736445002,17576817.287294317,0.05916790674603174,0.04111904761904762,0.08551686507936508,353854.9856466438,330911.1201985515,374307.4834292506,22646719.081385203,21178311.692707296,23955678.93947204,2.3189865833110667e-05,1.0085701117148761e-05,4.386128041505357e-05,3.1425168584055486e-05,1.4389123999121383e-05,5.75528402401188e-05,1.2248700994173995,1.0616974305327451,1.4497633030902193,0.0
