floor_rate,deployment_status,transactions,affected_transactions,runtime_bal_bytes,bal_floor_bytes,incremental_data_gas,regular_branch_gas,transaction_share,affected_fraction_within_group,affected_transaction_share_of_all,runtime_bal_byte_share,incremental_gas_share,incremental_gas_as_share_of_group_regular_branch,incremental_gas_as_share_of_all_regular_branch
96,contract creation without deployed code,1447,1030,3564760,3564760,31728759.150258444,1916271780.5718172,0.0007616799701855193,0.7118175535590877,0.0005421771729724153,0.004953355694429889,0.00477789604461915,0.01655754651920541,0.00013139935412750768
96,internal deployment observed,8393,1274,29315596,29331763,536781639.89819634,5988773240.242079,0.004417954381317943,0.1517931609674729,0.0006706152605503467,0.040735021258711965,0.0808316159465342,0.08963131819572759,0.00222299146512803
96,no deployment observed,1889874,126634,686368920,690077232,6037870998.3500595,233481325452.9511,0.9948024685379324,0.06700658350768358,0.06665831468173673,0.9537330418770669,0.9092167715831536,0.025860188118414434,0.025004833808067325
96,top-level deployment observed,34,33,416385,416385,34357298.871631026,81781032.28728518,1.789711056413798e-05,0.9705882352941176,1.7370724959310392e-05,0.0005785811697912873,0.005173716425693462,0.4201132941308286,0.00014228501215312394
