propagation_time_s,execution_time_s,safe_payload_bytes,execution_capacity_gas,floor_rate,payload_capacity_at_floor_rate,safe_shared_limit,shared_physical_binding_constraint,eip7999_max_included_execution,eip7999_balanced_included_execution,shared_fee_included_regular_gas,eip7999_included_state_gas,eip7999_balanced_included_state_gas,shared_fee_included_state_gas
3.0,6.0,5619286.0,600000000.0,96,539451456.0,533959303.1674208,transfer payload,265652332.6930628,196183310.3162821,120243469.21987703,74997150.59973417,74997323.14854227,268830037.22585773
3.5,5.5,6775042.0,550000000.0,82,555553444.0,550000000.0,execution,275481109.2147563,243025041.2945569,117067421.00965336,74997133.39799286,74997293.4662267,277431671.91935235
4.0,5.0,7930799.0,500000000.0,64,507571136.0,500000000.0,execution,280700078.9566488,242918270.24025956,107707136.54726765,74997154.75475186,74997319.43386929,252204421.99293405
4.5,4.5,9086555.0,450000000.0,64,581539520.0,450000000.0,execution,281679132.3070799,223854176.9714245,103116582.7601907,74997199.724513,74997319.16728546,226603737.1126164
5.0,4.0,10242311.0,400000000.0,64,655507904.0,400000000.0,execution,280032112.896861,199852433.80860904,98205622.54803948,74997236.20825922,74997320.09450379,200923928.824409
