propagation_time_s,benchmark,shared_limit,shared_target,floor_rate,cpsb,replication,included_execution,included_data,included_state,included_execution_metered,included_data_metered,included_state_metered,included_regular_metered,shared_gas_used,shared_target_utilisation,shared_fee_wei,shared_fee_log_return_sd,shared_limit_hit_fraction,shared_near_limit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,shared_rationed_gas,regular_binding_fraction,runtime_bal_bytes,estimated_static_payload_bytes,estimated_counted_payload_bytes,included_state_bytes,annualized_state_growth_gib,base_fee_burn_eth_per_block,base_fee_exposure_proxy_eth_per_block,equilibrium_log_rmse
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,0,16800455.180065565,501488.4254080525,1200527.2260094306,24326317.68947885,796738.1068851424,6790560.467880683,25123055.796363737,25247692.394243818,1.0099076957697528,2193253441.493611,0.04948622031004555,0.024265873015873015,0.029583333333333333,0.0,0.3073948819746161,88550.46150271485,0.9878373015873015,78002.30333633919,56644.70254832022,134647.00588465942,4438.27481560829,10.862747407908165,0.054833154797180046,0.0680411922979598,0.911128222654851
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,1,16704863.402248396,602498.5947297977,1137062.4414169006,24187905.013705477,957217.6852843394,6431583.638351183,25145122.69898987,25269688.13372469,1.0107875253489875,2846250690.170136,0.051557329648808596,0.027698412698412698,0.0339484126984127,0.0,0.3234641722655668,100933.17015161796,0.98875,77052.13152565186,68054.1204046348,145106.25193028664,4203.649436830839,10.288498103610653,0.07115754272021307,0.08776410978267168,0.8565911826355443
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,2,16898845.12216196,467291.041893092,1009853.8208988957,24468781.983644217,742407.1249089127,5712051.576979732,25211189.10855321,25260862.94415878,1.0104345177663512,2881107158.090152,0.05120657360469113,0.028154761904761905,0.03456349206349206,0.0,0.32036429695147717,87393.4324680292,0.9916071428571429,77318.9670114665,52782.00000327228,130100.9670147388,3733.3670437776027,9.137474550909866,0.07202639560253066,0.08716717926796211,0.9307794753640489
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,3,16675201.224494465,539960.6220489169,1124505.7018561757,24144955.489322595,857860.6843293147,6360558.760764661,25002816.173652053,25249103.227682333,1.0099641291072934,4020944917.938962,0.049892870576103386,0.02636904761904762,0.031825396825396826,0.0,0.30925733882424206,102109.65717058591,0.9799404761904762,77210.80431966431,60990.25874601119,138201.0630656755,4157.227948212197,10.174880780188044,0.10052306337842569,0.12452016481508021,1.060553688474629
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,4,16642804.058545232,552165.9325550761,1552066.1896391986,24098045.82272868,877251.8317495442,8778975.67215619,24975297.654478177,25266802.046374165,1.0106720818549666,1566993637.9135594,0.05183824066309742,0.027043650793650793,0.03287698412698413,0.0,0.3265044890344922,115552.25630257411,0.9609722222222222,77628.9453566296,62368.88714121039,139997.83249784,5737.892596180517,14.043582363764196,0.039173876882028086,0.0501218524456462,1.2343805348426715
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,5,16817812.46583015,537003.1768868512,1031969.6233671565,24351450.273281552,853162.0529347486,5837145.527956311,25204612.326216355,25273891.614497658,1.0109556645799063,3563212281.467097,0.0520743447063902,0.03218253968253968,0.038253968253968255,0.0,0.3281103171578867,122581.88765562087,0.990515873015873,77085.99543388924,60656.205968278846,137742.20140216808,3815.1277960498765,9.337585277873162,0.0890805477228023,0.10734397085527268,1.1368332151888447
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,6,16618081.393979315,562853.1023638529,1171084.59546969,24062248.49545885,894231.038068166,6624023.667479889,24956479.533526976,25267940.472795125,1.010717618911805,2406018480.9076486,0.05153218023021741,0.030753968253968252,0.035972222222222225,0.0,0.3234971538864477,141662.56704686463,0.9726785714285714,77105.93110627672,63576.036746725156,140681.96785300187,4329.427233646986,10.59634123931106,0.060151106649982945,0.07136018044349564,1.1356705990531546
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,7,16592098.586261049,735805.3354730447,1147674.064760882,24024626.536515165,1169008.3366206603,6491606.325399419,25193634.873135723,25242939.568787154,1.0097175827514862,1449926654.3496923,0.048993876662967194,0.021964285714285714,0.027301587301587302,0.0,0.30359341727759703,67782.92936612293,0.9918452380952381,76737.7791861547,83111.53807273561,159849.3172588903,4242.879951241451,10.384515404573206,0.03625010817575916,0.0445255787976914,0.859605926064455
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,8,16787027.920165926,541122.9272657586,1069211.7745485706,24306875.609695215,859707.2929670494,6047798.875979026,25166582.902661942,25249101.730374422,1.009964069214977,3990114046.8286624,0.0493783790694345,0.021488095238095237,0.02630952380952381,0.0,0.30715844948106164,70377.3938160251,0.9910912698412698,77812.34245961899,61121.54479359004,138933.88725320902,3952.809722862108,9.674563958944399,0.09975452034384358,0.12144551968865065,1.0994781344439029
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,9,16622354.502940759,587308.1255323859,986854.5153318355,24068435.768661015,933083.8766900606,5581960.253943631,25001519.645351615,25259416.432918753,1.01037665731675,8558063106.370934,0.05028275661838473,0.027023809523809523,0.031924603174603175,0.0,0.31371328153738026,97662.05170578217,0.9794047619047619,76589.37924536232,66338.30890099607,142927.68814635838,3648.3400352572753,8.929369610414021,0.21395627351970167,0.24710275784012098,1.470266460783452
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,10,16523269.03417226,739875.6306108875,1318774.4205670157,23924964.3825681,1175475.0047994088,7459403.878845534,25100439.3873675,25246233.485761683,1.0098493394304673,1248654509.3500123,0.04983166260306222,0.02501984126984127,0.03005952380952381,0.0,0.3096335223346368,94183.74093505593,0.9786111111111111,76886.21528793177,83571.29077227076,160457.50606020255,4875.427371794467,11.932685163874048,0.031211834121645087,0.03954673426943656,0.9634954293000747
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,11,16824539.554709062,516778.2582616292,1172610.3359541863,24361190.80110886,821029.7791653957,6632653.7366643185,25182220.58027441,25242397.163141727,1.009695886525669,1892300264.972959,0.048699026925921624,0.020773809523809524,0.02619047619047619,0.0,0.29995388462840716,71562.69298157646,0.9904563492063492,78190.01331688048,58371.73749095059,136561.75080783106,4335.067801741385,10.61014661842618,0.04730939232929742,0.058909107437218666,0.8592763322152589
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,12,16829992.30287386,513677.53451940394,1219799.110129285,24369086.139819466,816103.5143919821,6899568.3201064905,25185189.654211547,25253170.3709579,1.010126814838316,1415537390.0310795,0.05038469343183169,0.02654761904761905,0.031785714285714285,0.0,0.31440346897264704,88200.36985863933,0.9888095238095238,77860.90711947824,58021.50094477317,135882.40806425142,4509.52177784738,11.037125468424442,0.03538768919826711,0.04417382925784857,0.825394291417398
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,13,16535128.029219305,609809.3657446605,1423844.665365227,23942135.684053887,968832.6489866689,8053714.3078135755,24910968.333040442,25253152.479849838,1.0101260991939935,1814632848.3983495,0.05041868492288753,0.025793650793650792,0.030813492063492064,0.0,0.31083426230097483,103441.17302041994,0.9548214285714286,76938.10984123885,68879.89509564353,145818.00493688238,5263.865560662468,12.883393739742194,0.04536402262567842,0.05723103043664774,1.0165044237572722
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,14,16671888.173736516,557263.8774270384,1302092.6570079098,24140158.338031147,885351.1751052518,7365046.5650714375,25025509.513136383,25255294.548264764,1.0102117819305905,2286285071.948091,0.05082606108339831,0.029722222222222223,0.03492063492063492,0.0,0.31690556717553414,151971.66205409405,0.9766468253968253,77327.65810964732,62944.7161259872,140272.37423563452,4813.755924883292,11.781743327708256,0.05715437812051749,0.06935820815597434,1.0658014405033018
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,15,16674154.57046336,564572.7345985048,1249788.7315129987,24143439.980474304,896963.0981950897,7069199.073164532,25040403.07866943,25292565.452747952,1.011702618109918,3624719848.4552293,0.053159043024756596,0.03349206349206349,0.04013888888888889,0.0,0.3355591899226788,161287.82236657606,0.9745833333333334,77214.15463588317,63770.27464233581,140984.42927821897,4620.39155108793,11.308480981978661,0.09062645154328565,0.10765523195451253,1.3692168446441126
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,16,16537271.290638968,597569.0342069861,1624542.7164535196,23945239.03200612,949385.862016378,9188925.756729085,24894624.89402263,25238889.82698469,1.0095555930793876,1204675131.6184096,0.04928774841181961,0.02365079365079365,0.029285714285714286,0.0,0.3039891538476761,120375.26674541346,0.9608928571428571,78030.27208615652,67497.3109642546,145527.58305041114,6005.833827927507,14.699372742132738,0.03011427537678405,0.03962418544863405,1.1721885801724161
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,17,16573589.328042502,543473.8035258031,1368625.822839356,23997825.947436005,863442.2399888628,7741379.126224429,24861268.18742509,25294280.256689608,1.0117712102675844,2151833848.413107,0.053912244645046695,0.03654761904761905,0.04373015873015873,0.0,0.34061994545756485,183212.29768247655,0.954047619047619,76338.30028639114,61387.08369684543,137725.38398323656,5059.724919100934,12.383756309186346,0.05379719382658817,0.06743759726152465,0.9375742127143155
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,18,16782665.682037115,537517.0815414073,1236005.6824732844,24300559.281391744,853978.517285339,6991237.802559396,25154537.798677053,25255348.789749738,1.0102139515899895,2286541599.6586967,0.049795839061413286,0.024027777777777776,0.029365079365079365,0.0,0.3103087785125736,99890.88887784372,0.9837698412698412,77494.94921151196,60714.25312314955,138209.2023346615,4569.4364722610435,11.183767625225729,0.05716844646020936,0.07086620041948292,0.9326297241157067
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,19,16719477.86526286,516001.11682415416,1204245.2402814087,24209066.11120802,819795.0982309885,6811590.728742064,25028861.209439028,25292485.544782314,1.0116994217912927,2931819398.678151,0.052942375790582336,0.034484126984126985,0.0416468253968254,0.0,0.3338367013124109,142868.28001478783,0.977281746031746,76674.76405447345,58283.956909518565,134958.720963992,4452.02008414514,10.896389168811428,0.07330011678168086,0.08882644033224862,1.106442821558863
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,20,16814433.05729451,529093.2613135286,1071588.116154293,24346557.03885656,840595.200261362,6061240.213265067,25187152.239118237,25284150.77457855,1.011366030983142,5413721149.199496,0.052422574321602904,0.029722222222222223,0.03654761904761905,0.0,0.3289716541517276,99896.14469644555,0.9868253968253968,77440.09807000893,59762.756005862255,137202.85407587118,3961.5949106307626,9.69606584416483,0.13534486302024,0.1657497426723687,1.3310097033947226
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,21,16712473.20343259,616868.5150961184,1114136.4073176594,24198923.669996522,980047.8495886043,6301906.761836672,25178971.519584958,25267472.067432735,1.0106988826973093,3390232926.6220255,0.05174528360398604,0.029186507936507938,0.03561507936507936,0.0,0.3223545006183259,109939.74233510524,0.9882936507936508,77008.98740886491,69677.24832454835,146686.23573341325,4118.893308389982,10.081056146369196,0.0847502303435158,0.10264676357720293,1.1875980788111373
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,22,16761632.324100798,579335.9866475848,1186137.0785708542,24270103.90731078,920418.1669326765,6709165.257337904,25190522.074243672,25255180.866489924,1.010207234659597,2760072144.6698723,0.0506181531178363,0.027678571428571427,0.033313492063492066,0.0,0.31605737142158874,101500.07855526563,0.9887896825396826,77658.70571826774,65437.83061889811,143096.53633716586,4385.075331593401,10.73254083416188,0.06899687679888086,0.08522879695417371,0.9074447168399923
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,23,16652617.852835614,599689.2217533005,1343443.3765558342,24112255.76377424,952754.3030935791,7598939.271040335,25065010.066867895,25240954.895484276,1.009638195819371,2744637489.538643,0.04885831416043438,0.023373015873015872,0.028432539682539684,0.0,0.3015424004568979,102052.51289609558,0.9752380952380952,77541.61778901012,67736.79284822813,145278.41063723824,4966.626974536167,12.155897625797472,0.06861746877978486,0.08473431735783882,1.366678339157825
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,24,16683709.080489049,624195.9139801133,1293549.8622448463,24157274.48934753,991689.2307639914,7316725.824694748,25148963.720111325,25278213.157490972,1.011128526299639,3213663713.2048216,0.05264712463471755,0.03253968253968254,0.03873015873015873,0.0,0.33156371722070915,133356.23788069474,0.9821031746031746,77100.01814401656,70504.90118592606,147604.9193299426,4782.173741630554,11.70444543753294,0.0803412354073345,0.10098258605845473,1.0055028219083557
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,25,16736502.368385386,585164.6235985393,1161662.5283059103,24233716.840431307,929678.3949553736,6570729.48520557,25163395.235386595,25259100.7783879,1.010364031135516,2058797138.1588824,0.05090580148541126,0.028154761904761905,0.03371031746031746,0.0,0.3166224446738272,97678.99557695031,0.9877579365079365,77305.22449834264,66096.19358326826,143401.4180816109,4294.594434774883,10.511087416287877,0.05146853957059172,0.06371351720756616,0.7620446105935955
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,26,16697773.273072869,648319.851514021,1052601.9736732678,24177638.819549877,1030016.0581593433,5953848.605831343,25207654.877709385,25267462.892717827,1.0106985157087132,2839977598.0745487,0.05140041005372185,0.030535714285714284,0.03734126984126984,0.0,0.32141440590587733,107418.7596006528,0.9939087301587302,76590.23363055955,73229.77617140667,149820.00980196623,3891.404317536825,9.52427326374387,0.07100109292805039,0.08634235381375117,0.9757053921555493
3.0,floor_optimized_only,50000000.0,25000000.0,40,1530.0,27,16640863.293792823,607409.3799015424,1245601.5195416608,24095235.68101423,965019.6792742575,7045514.88219658,25060255.36028856,25257947.535963465,1.0103179014385386,2362672118.8382745,0.050384578732545315,0.02615079365079365,0.031071428571428573,0.0,0.3143631040914451,123528.24789045835,0.9800595238095238,77019.24854428243,68608.8091097746,145628.05765405702,4604.911687710183,11.270593772923911,0.059068865504538194,0.07501284584794203,0.8041173648826883
