start_date,end_date_inclusive,days,blocks,floor_rate,base_fee_ref_wei,base_fee_ref_gwei,q_execution_per_block,q_data_per_block,q_state_per_block,m_execution,m_data,m_state,m_data_7976_7981_baseline,static_floor_change_from_64_reference,runtime_bal_contribution_8279
2026-02-01,2026-05-31,120,860505,40,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,1.5887467517058966,5.656315259465248,1.968761648325156,-0.4189940865185846,0.03897918989932529
2026-02-01,2026-05-31,120,860505,50,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,1.7634340839660732,5.656315259465248,1.968761648325156,-0.2749490505855716,0.06962148622648873
2026-02-01,2026-05-31,120,860505,64,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.161501805529043,5.656315259465248,1.968761648325156,0.008853691148968945,0.18388646605491787
2026-02-01,2026-05-31,120,860505,65,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.2014300642387314,5.656315259465248,1.968761648325156,0.033352429315846255,0.19931598659772917
2026-02-01,2026-05-31,120,860505,66,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.243332058622386,5.656315259465248,1.968761648325156,0.05848730777799904,0.21608310251923096
2026-02-01,2026-05-31,120,860505,67,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.2871073920400034,5.656315259465248,1.968761648325156,0.08433041125804763,0.23401533245679992
2026-02-01,2026-05-31,120,860505,68,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.3327944689336553,5.656315259465248,1.968761648325156,0.11105020926814246,0.2529826113403567
2026-02-01,2026-05-31,120,860505,69,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.3803814974406614,5.656315259465248,1.968761648325156,0.13826816802437625,0.27335168109112934
2026-02-01,2026-05-31,120,860505,70,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.42935267982476,5.656315259465248,1.968761648325156,0.16602947038121796,0.2945615611183862
2026-02-01,2026-05-31,120,860505,71,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.4791563099864544,5.656315259465248,1.968761648325156,0.19440176347653715,0.3159928981847614
2026-02-01,2026-05-31,120,860505,72,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.5297123127871743,5.656315259465248,1.968761648325156,0.22346738805349453,0.33748327640852405
2026-02-01,2026-05-31,120,860505,73,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.5811064010521862,5.656315259465248,1.968761648325156,0.25327431327589967,0.3590704394511308
2026-02-01,2026-05-31,120,860505,74,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.633485991067783,5.656315259465248,1.968761648325156,0.283888852763754,0.38083548997887307
2026-02-01,2026-05-31,120,860505,75,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.6868501979892567,5.656315259465248,1.968761648325156,0.31533290351742016,0.40275564614668047
2026-02-01,2026-05-31,120,860505,76,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.741198959017473,5.656315259465248,1.968761648325156,0.34766654804991726,0.42477076264239966
2026-02-01,2026-05-31,120,860505,77,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.7965456058107008,5.656315259465248,1.968761648325156,0.3808631060390879,0.44692085144645705
2026-02-01,2026-05-31,120,860505,78,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.8527721305450795,5.656315259465248,1.968761648325156,0.4150529641173888,0.4689575181025345
2026-02-01,2026-05-31,120,860505,79,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.9098833373307404,5.656315259465248,1.968761648325156,0.4501997939370601,0.4909218950685244
2026-02-01,2026-05-31,120,860505,80,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,2.9679659571659913,5.656315259465248,1.968761648325156,0.48640660914030187,0.5127976997005336
2026-02-01,2026-05-31,120,860505,81,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.0271211899142436,5.656315259465248,1.968761648325156,0.5236725277318657,0.534687013857222
2026-02-01,2026-05-31,120,860505,82,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.0874605142255307,5.656315259465248,1.968761648325156,0.5618389075750918,0.5568599583252829
2026-02-01,2026-05-31,120,860505,83,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.1488896635484833,5.656315259465248,1.968761648325156,0.6006988235412956,0.5794291916820317
2026-02-01,2026-05-31,120,860505,84,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.2112487378744277,5.656315259465248,1.968761648325156,0.6398956977326389,0.6025913918166329
2026-02-01,2026-05-31,120,860505,85,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.274452060763763,5.656315259465248,1.968761648325156,0.6793248688602036,0.6263655435784035
2026-02-01,2026-05-31,120,860505,86,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.3385471983171064,5.656315259465248,1.968761648325156,0.7189622872119856,0.6508232627799649
2026-02-01,2026-05-31,120,860505,87,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.4035404305756747,5.656315259465248,1.968761648325156,0.7588108595685501,0.6759679226819685
2026-02-01,2026-05-31,120,860505,88,106927843.5,0.1069278435,23942241.363434453,1180555.063054834,5244154.703798162,1.4479558695732846,3.4693950541777,5.656315259465248,1.968761648325156,0.7988336922847394,0.7017997135678047
