propagation_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,100000000.0,50000000.0,40,64,1020.0,2.161501805529043,3.7708768396434986,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,125000000.0,62500000.0,40,64,1275.0,2.161501805529043,4.713596049554373,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,150000000.0,75000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,175000000.0,87500000.0,40,64,1785.0,2.161501805529043,6.5990344693761225,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,200000000.0,100000000.0,40,64,2040.0,2.161501805529043,7.541753679286997,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,225000000.0,112500000.0,50,64,2295.0,2.161501805529043,8.484472889197871,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,250000000.0,125000000.0,50,64,2550.0,2.161501805529043,9.427192099108746,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,275000000.0,137500000.0,50,64,2805.0,2.161501805529043,10.36991130901962,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,300000000.0,150000000.0,64,64,3060.0,2.161501805529043,11.312630518930495,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,325000000.0,162500000.0,64,64,3315.0,2.161501805529043,12.25534972884137,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,350000000.0,175000000.0,64,64,3570.0,2.161501805529043,13.198068938752245,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,359634304.0,179817152.0,64,64,3668.2699008,2.161501805529043,13.561366676949092,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,375000000.0,187500000.0,67,64,3825.0,2.161501805529043,14.14078814866312,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,400000000.0,200000000.0,72,64,4080.0,2.161501805529043,15.083507358573994,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,425000000.0,212500000.0,76,64,4335.0,2.161501805529043,16.02622656848487,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,450000000.0,225000000.0,81,64,4590.0,2.161501805529043,16.968945778395742,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,475000000.0,237500000.0,85,64,4845.0,2.161501805529043,17.911664988306615,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,500000000.0,250000000.0,89,64,5100.0,2.161501805529043,18.854384198217492,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,525000000.0,262500000.0,94,64,5355.0,2.161501805529043,19.797103408128365,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,533959303.1674208,266979651.5837104,96,64,5446.384892307692,2.161501805529043,20.134947696262085,False
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,50000000.0,25000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,75000000.0,37500000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,100000000.0,50000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,125000000.0,62500000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,150000000.0,75000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,175000000.0,87500000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,200000000.0,100000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,225000000.0,112500000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,250000000.0,125000000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,275000000.0,137500000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,300000000.0,150000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,325000000.0,162500000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,350000000.0,175000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,359634304.0,179817152.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,375000000.0,187500000.0,67,67,1530.0,2.2871073920400034,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,400000000.0,200000000.0,72,72,1530.0,2.5297123127871743,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,425000000.0,212500000.0,76,76,1530.0,2.741198959017473,5.656315259465248,True
