benchmark,propagation_time_s,state_demand_cap_label,state_demand_cap_multiple,replication,included_execution,included_data,included_state,included_execution_metered,included_data_metered,included_regular_metered,included_state_metered,included_state_bytes,runtime_bal_bytes,estimated_static_payload_bytes,estimated_counted_payload_bytes,annualized_state_growth_gib,shared_fee_wei,shared_limit_hit_fraction,shared_near_limit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,shared_rationed_gas,shared_fee_log_return_sd,regular_binding_fraction,state_demand_cap_active_fraction,base_fee_exposure_proxy_eth_per_block
fully_optimized,3.0,1.5x,1.5,10,111073813.42732668,21584250.667489517,7098529.46325792,160829980.1079853,87039518.66193323,247869498.76991963,142928519.4630679,26242.823871103155,512252.53720118717,2438009.3275203505,2950261.8647215376,64.22972412152131,1187.109782594827,0.03240079365079365,0.03654761904761905,0.0,0.33633686676043606,3514290.8292583767,0.049571821392226226,0.8624603174603175,1.0,4.5124009493521514e-07
fully_optimized,3.0,1.5x,1.5,11,121851836.14532161,17446283.59429412,7224279.8553402275,176436081.36489853,70352969.38865508,246789050.7535563,145460497.0304288,26707.715283925812,563060.0391083155,1970612.8690174965,2533672.908125812,65.36755316532872,8787.564187347687,0.02244047619047619,0.025833333333333333,0.0,0.3190809487594437,3512068.6118729445,0.046560077079473725,0.8659126984126985,0.9978571428571429,2.9515260249932008e-06
fully_optimized,3.0,1.5x,1.5,12,123496724.1752022,17837433.73466331,6926885.515938254,178817806.64255688,71930300.95632216,250748107.59887937,139472477.56141174,25608.266826385778,565864.1559186116,2014794.5135587798,2580658.6694773915,62.676635775474665,354.89115164259596,0.026567460317460316,0.030218253968253967,0.0,0.3267204008907844,2997471.4724874743,0.04664916072284789,0.8899603174603175,1.0,1.3101544559290746e-07
fully_optimized,3.0,1.5x,1.5,13,110816459.52152377,17953847.77927644,7772790.1319060875,160457343.0095204,72399746.13488026,232857089.14440286,156504722.75994942,28735.523811582232,512669.5014216644,2027943.8478114938,2540613.349233158,70.33064642626616,328573.4450406081,0.034761904761904765,0.03958333333333333,0.0,0.3603027699863311,4889831.971450779,0.05270670486116085,0.7966269841269841,0.9709920634920635,0.00010317838852884998
fully_optimized,3.0,1.5x,1.5,14,117631253.65410209,18031064.2412641,7494526.62177729,170324864.1737212,72711125.1949044,243035989.3686236,150901901.53772342,27706.80084524556,540908.3526014703,2036665.6912270535,2577574.0438285237,67.81283078836773,10444.77484210169,0.03857142857142857,0.04271825396825397,0.0,0.3417765795143765,7413169.260131045,0.049960262676718555,0.8366865079365079,0.997718253968254,3.4922181636583654e-06
fully_optimized,3.0,1.5x,1.5,15,116510575.60587633,18096613.518977694,7493944.23113324,168702171.8158893,72975455.77875203,241677627.59464437,150890175.13256985,27704.647783097837,536093.2596771132,2044069.6893060172,2580162.9489831305,67.80756113490193,27678.763671511122,0.04242063492063492,0.048273809523809524,0.0,0.368034537440058,4872987.707021793,0.053284883296650105,0.8345436507936508,0.993531746031746,9.676633441805196e-06
fully_optimized,3.0,1.5x,1.5,16,112403291.62653458,18287298.293176375,8093092.478838673,162755005.86999938,73744401.21114564,236499407.08114615,162953993.7624267,29919.661754456236,522884.454819741,2065608.1371898125,2588492.5920095537,73.22884266330952,12662.090953212659,0.03442460317460318,0.03827380952380952,0.0,0.334245753438253,7000055.144474131,0.04806653808208674,0.7973809523809524,0.997718253968254,4.144622849221551e-06
fully_optimized,3.0,1.5x,1.5,17,110469358.5903765,16338458.277780136,7871271.809859028,159954756.1789321,65885611.04500438,225840367.22393796,158487646.1945647,29099.60447679851,506307.7709856116,1845480.4983583477,2351788.269343959,71.22173957994812,626120.0454951552,0.046785714285714285,0.05271825396825397,0.0,0.3844165816541416,9901719.302299298,0.05605297098266726,0.7652579365079365,0.9562301587301587,0.0001882942148832827
fully_optimized,3.0,1.5x,1.5,18,118388256.00337675,17389782.122693017,7685887.88218872,171420970.16863412,70125124.51381564,241546094.68245035,154754950.5071992,28414.25157553047,544041.4973085793,1964230.849233525,2508272.346542104,69.54432757617354,76865.99956443683,0.025932539682539682,0.02988095238095238,0.0,0.33677369830757464,4244143.800743488,0.04906747424787925,0.8279563492063492,0.9907142857142858,2.492398927012551e-05
fully_optimized,3.0,1.5x,1.5,19,119712087.15678802,16810451.867343843,7449144.839830645,173337819.2575382,67788947.67132576,241126766.92886695,149988141.73186713,27539.027207516276,545368.2528709756,1898793.6659828955,2444161.918853871,67.40220217160207,531442.7656935801,0.04123015873015873,0.04625,0.0,0.3568182445359262,8404917.466285748,0.05188614859691945,0.8312301587301587,0.9920238095238095,0.00015697119687644532
fully_optimized,3.0,1.5x,1.5,20,112825545.65796493,16364189.829013245,8221775.923107998,163366411.07325673,65989374.75069215,229355785.82395008,165545028.18215668,30395.396479592808,522280.7619985491,1848386.9583918375,2370667.720390387,74.39321088452814,588304.4822029333,0.04994047619047619,0.05573412698412698,0.0,0.37285090312514196,8112970.67230646,0.05557470566045483,0.7563293650793651,0.9337301587301587,0.00019472448005142912
fully_optimized,3.0,1.5x,1.5,21,114807844.4193154,18785394.202714577,7703092.230947439,166236692.20000327,75752996.68576191,241989688.8857632,155101359.1696067,28477.854987565624,529240.4914072119,2121869.644348963,2651110.135756175,69.69999792736253,75633.51771919389,0.03892857142857143,0.044186507936507934,0.0,0.36290444877808764,4333539.569618174,0.05370928720808455,0.833452380952381,0.9810515873015873,2.494827283290755e-05
fully_optimized,3.0,1.5x,1.5,22,116620268.29954536,18125257.94384141,8084100.967047038,168861001.9955391,73090965.78606665,241951967.7816027,162772950.1427899,29886.42069213387,539400.846256468,2047305.1676218978,2586706.013878366,73.14748464052361,38791.26466363193,0.0371031746031746,0.04162698412698413,0.0,0.3522298565625888,5531098.935303887,0.05211293338482242,0.8062301587301587,0.9889880952380953,1.2803658636583308e-05
fully_optimized,3.0,1.5x,1.5,23,113344598.84393285,18206284.667031266,7679411.775330821,164117977.18050227,73417709.90583467,237535687.08633935,154624554.43434063,28390.309809489892,525296.276541184,2056457.3920821531,2581753.668623337,69.48572972727887,199068.45394928713,0.03013888888888889,0.03404761904761905,0.0,0.33375235077223936,4252287.579940468,0.04923848613767024,0.8262301587301587,0.9661904761904762,6.564452250336806e-05
fully_optimized,3.0,1.5x,1.5,24,108808989.06152962,17426790.988642707,8517095.72262646,157550614.37397608,70274364.52812605,227824978.90210155,171491276.8991276,31487.175491643393,502439.85752984026,1968411.1176049537,2470850.975134794,77.06535718593638,222267.64746125365,0.04698412698412698,0.05198412698412699,0.0,0.3690967237896955,8142450.875724344,0.054276350972992576,0.7347420634920635,0.9462301587301587,7.505129709591028e-05
fully_optimized,3.0,1.5x,1.5,25,118490377.41331461,19071136.897691444,7399628.638291927,171568837.46356308,76905267.71036589,248474105.17393056,148991135.6037713,27355.968876566516,544944.0807089434,2154145.1848046575,2699089.265513601,66.95416402781085,29919.888850097093,0.037837301587301586,0.04283730158730159,0.0,0.3430481803384395,5403447.560403585,0.05081409356787884,0.8615674603174603,0.9925198412698413,9.864694210066296e-06
fully_optimized,3.0,1.5x,1.5,26,117448665.45410761,19828180.976165578,7210307.258460576,170060484.51782334,79958084.00736679,250018568.52519464,145179159.523076,26656.059458471733,537614.4336029789,2239655.706022055,2777270.139625034,65.24112472018572,8773.652322273376,0.033174603174603176,0.037658730158730155,0.0,0.34437107710122355,5104160.671687519,0.0503275711955498,0.8668650793650794,0.9994246031746031,3.1528757460514736e-06
fully_optimized,3.0,1.5x,1.5,27,114764188.36307196,18775942.940008197,8007731.104323374,166173480.15712583,75714884.01882814,241888364.17595288,161235246.95128042,29604.086038613277,529236.7458925166,2120802.0943566114,2650038.8402491277,72.45646613601194,141758.03656838043,0.04462301587301587,0.04880952380952381,0.0,0.3514007343868737,9901193.68108991,0.052209611403701436,0.8143452380952381,0.9892857142857143,4.569701057289844e-05
fully_optimized,3.0,1.5x,1.5,28,116268114.13222991,17634024.33301791,7870650.411199985,168351098.30198026,71110042.85780166,239461141.1597807,158475134.365069,29097.307204434717,530975.1496254607,1991818.7787901058,2522793.9284155667,71.21611696971063,346963.56253974175,0.03253968253968254,0.036904761904761905,0.0,0.3613937847738111,5885553.214966425,0.05181926645634683,0.8307142857142857,0.9930555555555556,0.00010300000975271217
fully_optimized,3.0,1.5x,1.5,29,113803397.40998618,17482197.51324011,7787966.44701307,164782297.25716883,70497793.97703096,235280091.23420298,156810297.07083714,28791.629708783752,524477.9274590441,1974669.4596643988,2499147.387123443,70.46796649199324,46617.52543736722,0.04119047619047619,0.04587301587301587,0.0,0.36284494222436386,6263468.01242724,0.052640170157749876,0.8091468253968254,0.989186507936508,1.5237592103871973e-05
fully_optimized,3.0,1.5x,1.5,30,113492397.70286149,18057911.542037606,7715597.227477918,164331983.40580374,72819388.21374662,237151371.61954954,155353146.62069035,28524.085185405533,524361.0010589665,2039698.1786973337,2564059.1797563,69.81314706359593,41612.66877074922,0.03212301587301587,0.036448412698412695,0.0,0.35433365233883957,4484374.645943724,0.050655317853103884,0.824047619047619,0.9906944444444444,1.3621550588388789e-05
fully_optimized,3.0,1.5x,1.5,31,121109790.60457607,18502301.89715979,6979662.676967187,175361632.16868648,74611413.48271398,249973045.6513992,140535142.93828318,25803.380722646085,550229.6049683384,2089893.4737547543,2640123.0787230926,63.15418010495036,356716.56994058785,0.030912698412698413,0.035873015873015876,0.0,0.34093311165951995,3845304.949858984,0.05099974926350433,0.8645039682539682,0.9843650793650793,0.00010647525505811135
fully_optimized,3.0,2x,2.0,0,109361205.93421638,14595600.838361876,9569641.946951406,158350200.03606045,58857455.42541488,217207655.4614755,192684240.07381397,35378.37370729258,511983.0612722721,1648619.2424686537,2160602.3037409256,86.58912601206907,118572.71765964905,0.044265873015873,0.0487103174603174,0.0,0.3460859047449465,10216792.171073943,0.0510367545351184,0.6596031746031746,0.9376190476190476,3.98955387532731e-05
fully_optimized,3.0,2x,2.0,1,108218421.36236364,17164408.232582342,9443326.710337132,156695498.40758952,69216293.56960507,225911791.97719315,190140889.39133963,34911.39409921044,504156.38471240347,1938774.1560763712,2442930.540788775,85.44618607752494,159636.89214377647,0.0488888888888888,0.053531746031746,0.0,0.3640458089930962,10898285.580350123,0.0539642676260307,0.6956746031746032,0.9476388888888888,5.492473764703908e-05
fully_optimized,3.0,2x,2.0,2,117715058.93979707,15119912.205177257,9038860.790966071,170446210.5290428,60971765.97988413,231417976.50892588,181996989.25988483,33416.10864060155,545273.0680024549,1707841.8683783037,2253114.9363807584,81.78645140258678,143482.81162792112,0.0371428571428571,0.0410912698412698,0.0,0.3450759525440033,6423784.873711962,0.0510308950895228,0.7305158730158731,0.9625992063492064,4.702623525392425e-05
fully_optimized,3.0,2x,2.0,3,96824765.96085048,13233114.044588013,10401120.416880231,140197988.19307366,53363162.54769473,193561150.74076784,209426015.57639137,38452.29812387631,458190.7531114398,1494722.0531236816,1952912.806235121,94.11260436246818,1735490.3782892688,0.0555753968253968,0.0611904761904761,0.0,0.3741813425742916,12276579.26659533,0.0564634898400039,0.5166071428571428,0.8513095238095238,0.0005224303073951
fully_optimized,3.0,2x,2.0,4,101921865.6472392,14592218.712153692,9974693.154264623,147578363.60178113,58843816.84042355,206422180.44220173,200839924.9473694,36875.822939181104,476716.6929555459,1648237.220624605,2124953.913580151,90.25415655613683,241667.94662791063,0.0592857142857142,0.0634722222222222,0.0,0.382527617669876,10977236.757142026,0.0551741832604029,0.6249206349206349,0.916904761904762,7.933269243764581e-05
fully_optimized,3.0,2x,2.0,5,109736297.5972096,15555944.048568008,9084264.952993084,158893316.21111965,62730085.15225945,221623401.36337647,182911199.6874956,33583.9650161034,509441.26941315294,1757093.0431195106,2266534.3125326633,82.19728252135192,181708.0918858539,0.0574801587301587,0.0627777777777777,0.0,0.3840060889936843,11585449.058733178,0.0565483920430832,0.7003769841269841,0.9214880952380952,6.114824678791564e-05
fully_optimized,3.0,2x,2.0,6,112221869.55677287,17112156.207927596,8455633.365125917,162492314.71921527,69005584.79193643,231497899.51114997,170253735.54556957,31259.952961831757,522090.0728238757,1932872.124754896,2454962.197578772,76.50922647090057,62868.35633025897,0.0493849206349206,0.0532936507936507,0.0,0.3596089332173644,12324728.989494348,0.052603566904268,0.7795833333333333,0.9654563492063492,1.9904575538469684e-05
fully_optimized,3.0,2x,2.0,7,109257684.3700986,20792100.94676068,8524702.654719315,158200305.3796693,83845137.19080603,242045442.5704738,171644442.07895222,31515.297848555947,507571.8937201678,2348533.5130628003,2856105.406782968,77.13418709673456,8152.326211166101,0.0379166666666666,0.0419246031746031,0.0,0.3391246705847425,6339951.931908715,0.0506377344403669,0.785813492063492,0.9963293650793652,2.844853044316177e-06
fully_optimized,3.0,2x,2.0,8,103581474.28837603,14604015.279341375,9772050.863881482,149981403.67490822,58891387.05936097,208872790.7342682,196759733.0294511,36126.6669396334,487380.1347572784,1649569.6801701947,2136949.814927473,88.42058546594956,266029.0135524841,0.0521825396825396,0.0566468253968254,0.0,0.3610556784007825,11088949.93896806,0.0537695480999062,0.6100793650793651,0.8647817460317461,9.247627233942144e-05
fully_optimized,3.0,2x,2.0,9,105174810.85541418,16084794.757426996,9418118.336433088,152288484.70935524,64862700.81968441,217151185.5290396,189633320.10127473,34818.20030183821,492460.31404284295,1816828.4020590724,2309288.7161019156,85.21809279288242,623194.1545245445,0.0512301587301587,0.0550396825396825,0.0,0.351879370135739,13479009.191339027,0.0534018137014586,0.6691071428571429,0.8940277777777778,0.0001969063421808
fully_optimized,3.0,2x,2.0,10,102447398.63988334,19100250.136862308,9137525.838634135,148339312.18313405,77022668.23369834,225361980.4168318,183983604.8341312,33780.867212301506,479142.6836019545,2157433.6171781663,2636576.300780121,82.67920374304835,67267.49775881741,0.047281746031746,0.0514484126984127,0.0,0.354933688074941,7579490.343410733,0.0529471670882829,0.7038888888888889,0.9596428571428572,2.261691406299986e-05
fully_optimized,3.0,2x,2.0,11,110383519.788998,14909619.895545168,9316494.217667392,159830465.382638,60123752.22714169,219954217.6097792,187587123.78524745,34442.50222752156,518051.30463052733,1684088.6873998663,2202139.992030394,84.29856584773088,98897.65456437288,0.0370039682539682,0.0407341269841269,0.0,0.3400565862353138,7218849.428944827,0.0504029680339129,0.6915476190476191,0.9458333333333332,3.364006624743872e-05
fully_optimized,3.0,2x,2.0,12,115298502.7126185,15895830.77330584,9056745.184269488,166947143.7557464,64100694.55522227,231047838.31096533,182357090.58363137,33482.226135208875,534700.0919625121,1795484.3228528998,2330184.414815412,81.94827501040783,22878.832461206093,0.0374603174603174,0.0413690476190476,0.0,0.3450768063983321,6196520.303616982,0.0499502374703158,0.7253769841269841,0.984920634920635,7.719973115877616e-06
fully_optimized,3.0,2x,2.0,13,98261822.83898014,15261214.411398988,9721364.619777858,142278783.13467136,61541573.8553062,203820356.9899772,195739168.15551555,35939.283033773754,461899.5581917591,1723802.39914098,2185701.957332739,87.96196040954202,478270.36980106693,0.0535119047619047,0.0587698412698412,0.0,0.3828828899205824,9235707.720889367,0.0567064703759806,0.6205555555555555,0.8786309523809523,0.0001518141597369
fully_optimized,3.0,2x,2.0,14,106811088.01339836,15605953.013357222,9560405.9258924,154657741.82450923,62931748.68420721,217589490.50871655,192498273.27286485,35344.228709348754,498082.19444126665,1762741.7137402324,2260823.908181499,86.50555559263427,103016.82954458626,0.0511904761904761,0.0558928571428571,0.0,0.3609834995363105,12897525.411777455,0.0531600301176729,0.664047619047619,0.9458333333333332,3.36684779134102e-05
fully_optimized,3.0,2x,2.0,15,105921441.0584936,15605369.703993542,9517396.029313711,153369572.29430658,62929396.46142071,216298968.755724,191632271.25482497,35185.22378495147,494618.1598017884,1762675.8271041205,2257293.9869059087,86.11638853964625,107241.2461318574,0.0601984126984126,0.0649007936507936,0.0,0.384274744422328,10637768.522368034,0.0562678373163648,0.6518253968253969,0.9488888888888888,3.7105094643653264e-05
fully_optimized,3.0,2x,2.0,16,97086706.01145582,14769758.766743133,10300073.863856174,140577265.8268228,59559755.56503864,200137021.39186049,207391448.51636615,38078.73527434309,459996.3590571812,1668290.9308861098,2128287.289943291,93.19830341355282,158347.38569536683,0.052579365079365,0.0565674603174603,0.0,0.3634913791063972,12117327.346413644,0.0533489879688116,0.5708333333333333,0.9240873015873016,5.1977280783170925e-05
fully_optimized,3.0,2x,2.0,17,97466148.46939284,13652780.48160812,9687538.3087186,141126681.76095822,55055487.43955745,196182169.2005163,195058077.1515618,35814.22925637442,453883.63263159833,1542124.703494275,1996008.3361258733,87.65588932275024,836186.9148417297,0.0673611111111111,0.0729563492063492,0.0,0.4061236522389538,15055878.40785415,0.0596555007312513,0.6042460317460318,0.8620634920634921,0.0002558610645469
fully_optimized,3.0,2x,2.0,18,105798084.5674014,14754356.457087709,9777450.474047406,153190957.53897637,59497645.0178931,212688602.55687183,196868453.89772925,36146.62896406389,494341.49109888513,1666551.19133324,2160892.6824321253,88.46944283466777,206170.26974300828,0.0441269841269841,0.0492261904761904,0.0,0.3609974267016675,8038956.661307813,0.053438790491704,0.633968253968254,0.9158531746031746,6.798056359810532e-05
fully_optimized,3.0,2x,2.0,19,107430478.21958044,14320429.089529589,9460501.535501016,155554591.50910696,57747812.24452794,213302403.75363743,190486703.5977144,34974.88836434458,496659.6570429225,1617537.723788291,2114197.3808312137,85.60158928995725,657259.7000189767,0.0539880952380952,0.0593253968253968,0.0,0.3741312483189836,14108032.926026093,0.0548875119836842,0.6615873015873016,0.9317261904761904,0.0001979813010244
fully_optimized,3.0,2x,2.0,20,103034406.26894245,14285391.662581785,10082101.788968869,149189273.32511315,57606522.151874125,206795795.47698689,203002592.18926537,37272.906010733845,483463.05797013146,1613580.1356826392,2097043.1936527707,91.2260236183261,741096.5757551205,0.060297619047619,0.0657539682539682,0.0,0.384962495192185,11827921.172817422,0.0574908239226512,0.5874206349206349,0.8411507936507937,0.0002460563038062
fully_optimized,3.0,2x,2.0,21,104333590.63326366,16203324.922284892,9765743.330142412,151070434.9510892,65340679.35389981,216411114.3049879,196632731.1675281,36103.348377975664,487996.9666001401,1830216.7587811956,2318213.7253813357,88.36351291958248,162940.48482237005,0.0542261904761904,0.0592261904761904,0.0,0.3755386821186298,8861809.194125699,0.0557177547712905,0.638829365079365,0.9197222222222222,5.495451059453335e-05
fully_optimized,3.0,2x,2.0,22,102595739.7635094,14947696.636243138,10268482.78714196,148554103.58378646,60277298.497226216,208831402.0810111,206755363.83905885,37961.945019911065,482555.041076772,1688389.575599013,2170944.616675785,92.91245742917646,156319.29783823527,0.054345238095238,0.0595238095238095,0.0,0.3772796821979191,10521161.577666303,0.0560723392229709,0.5914087301587302,0.9120833333333334,5.269371689543328e-05
fully_optimized,3.0,2x,2.0,23,103112437.7663984,15701313.134349504,9789141.760690704,149302259.4898688,63316292.91317171,212618552.40304,197103857.34279037,36189.85092683659,485531.7622330938,1773512.9407813835,2259044.703014477,88.57522926826643,265645.72075488354,0.045297619047619,0.0503968253968254,0.0,0.3574245575739549,7629568.474081561,0.0532012016140608,0.638829365079365,0.9302579365079364,8.773871832597656e-05
fully_optimized,3.0,2x,2.0,24,96053701.613729,14332959.894556647,10511172.123358551,139081521.0458405,57798343.31251913,196879864.35835776,211641900.9302186,38859.15246811425,451113.5475209734,1618953.1178183153,2070066.6653392888,95.10838676821837,368280.1616079497,0.0592857142857142,0.0643849206349206,0.0,0.3802794092237075,13576342.287957504,0.0565985988171646,0.5303571428571429,0.8619444444444444,0.0001245259346514
fully_optimized,3.0,2x,2.0,25,109330651.86183886,16871037.253046326,9532564.015530434,158305959.08762467,68033261.1242562,226339220.21187985,191937677.86396775,35241.298890766,509724.3262558223,1905636.976771375,2415361.3030271973,86.25363324296944,75880.08839377936,0.0511904761904761,0.0556150793650793,0.0,0.3590877468039771,10242432.05300844,0.0535703984379414,0.6755753968253968,0.9761507936507936,2.496687999766894e-05
fully_optimized,3.0,2x,2.0,26,108938143.22285828,17494783.051587567,9333071.459076893,157737623.8999531,70548545.75974369,228286169.6596953,187920905.67397988,34503.7872625186,505385.4200553193,1976091.0359959404,2481476.45605126,84.44856193466008,73981.82021913042,0.0433730158730158,0.0481150793650793,0.0,0.3537208117029451,8744077.920908319,0.0523709472675345,0.6995833333333333,0.9684920634920636,2.5527841460303208e-05
fully_optimized,3.0,2x,2.0,27,101350766.06779142,15555992.596819244,10182942.63108071,146751436.61360893,62730280.92539501,209481717.53900537,205033017.27083543,37645.70835976316,475573.48223846767,1757098.5267979193,2232672.009036387,92.13846323029844,238489.0366279015,0.0598809523809523,0.0645436507936507,0.0,0.3715158647599156,17157461.537641767,0.0556152960048421,0.5902579365079365,0.9381150793650792,7.808322173128153e-05
fully_optimized,3.0,2x,2.0,28,104739032.25140248,15013044.464253925,10102327.125909887,151657496.52184427,60540816.72555368,212198313.24739316,203409828.29069924,37347.677829010776,486924.1760082068,1695770.819297385,2182694.9953055917,91.4090288194272,429065.5620635421,0.0567460317460317,0.0617063492063492,0.0,0.3841964578015638,11049171.729983592,0.0560202382863245,0.6130753968253968,0.9556746031746032,0.0001293146568454
fully_optimized,3.0,2x,2.0,29,103655589.99595629,15262426.174339715,9803746.196146972,150088719.9487272,61546460.347069375,211635180.2957936,197397916.88683167,36243.84262038301,485140.0641502811,1723939.2715947772,2209079.3357450585,88.70737478729947,173854.62123103018,0.0582738095238095,0.0629166666666666,0.0,0.3820022424045634,11511244.535144296,0.0558618464164845,0.6442261904761905,0.915218253968254,5.7081361450487573e-05
fully_optimized,3.0,2x,2.0,30,101071077.5951973,15290065.7156469,9852294.398179926,146346460.04806483,61657918.113589495,208004378.16164964,198375432.395516,36423.32231710164,474476.27630953654,1727061.245137125,2201537.5214466616,89.1466541675321,145298.3017866342,0.0515079365079365,0.0561507936507936,0.0,0.3817313146007859,9333450.150437083,0.0553293277483121,0.6242063492063492,0.923313492063492,4.791151214937921e-05
fully_optimized,3.0,2x,2.0,31,111551193.82565431,16367905.552596578,8946431.934142983,161521205.85776135,66004358.58298549,227525564.4407508,180135939.06212372,33074.40488029816,513490.4197896236,1848806.6611137069,2362297.0809033304,80.95012607558031,431051.4164684111,0.0427380952380952,0.0469642857142857,0.0,0.3560749725385775,7105316.680490753,0.0533471704926375,0.7103571428571429,0.9378174603174604,0.0001331419041804
fully_optimized,3.0,3x,3.0,0,77472705.08014451,8382510.618374491,12269283.393212823,112177058.052514,33802873.24501965,145979931.29753393,247041379.39294615,45358.780967143895,377183.9348759202,946831.0663393716,1324015.0012152917,111.01632973333275,291351.2960104923,0.0689285714285714,0.0734722222222222,0.0,0.3736676269221954,18016804.02754775,0.056588006444556,0.2722420634920635,0.6464087301587301,9.872360812510492e-05
fully_optimized,3.0,3x,3.0,1,77590035.55318576,10075407.518904572,12281053.050163014,112346947.3996364,40629560.61241312,152976508.01204988,247278360.82003936,45402.29266008867,375958.3682919675,1138049.1214669105,1514007.489758878,111.12282528608388,316650.15692285047,0.0694047619047619,0.074345238095238,0.0,0.3842830152878712,18424741.70753727,0.058259728781285,0.2753174603174603,0.6499801587301587,0.000108691635621
