replication,floor_rate,m_data_block
0,96,4.184903728914833
1,96,3.940879450870452
2,96,4.078117125227864
3,96,4.041717203061523
4,96,4.043876116133141
5,96,4.006481519932552
6,96,4.126004911352239
7,96,4.056621468793907
8,96,4.076055602454616
9,96,3.9798338705380494
10,96,3.979168043885015
11,96,3.994379067582762
12,96,4.0306241878701545
13,96,4.017163162720157
14,96,3.99084971983529
15,96,4.119192548129973
16,96,4.100646697992785
17,96,4.015958567820903
18,96,4.070629018383926
19,96,4.03819766568984
20,96,3.94829316773438
21,96,4.007022250149194
22,96,3.9793244627361624
23,96,3.9868606065351453
24,96,4.025810617186851
25,96,4.051519106231232
26,96,4.106921345751536
27,96,3.9699272334767715
28,96,4.1023396300577275
29,96,4.032386817861084
30,96,4.068620167703122
31,96,4.047490526321702
32,96,4.023963190030251
33,96,4.117527050800037
34,96,4.00367585600953
35,96,3.957545053522483
36,96,3.9989966729060606
37,96,4.078675236420576
38,96,4.070030864940349
39,96,4.042303265346276
40,96,3.951326196542821
41,96,4.058631874885801
42,96,4.094859698827271
43,96,3.9949119343433113
44,96,4.0853982453683235
45,96,3.984708352211374
46,96,3.966308691570534
47,96,3.977778168599436
48,96,4.038572532703363
49,96,3.9926310562609824
50,96,4.037042772251742
51,96,4.09246399278941
52,96,4.041957737635421
53,96,3.974090303313599
54,96,3.9969627645176593
55,96,4.053151074805443
56,96,3.932097906080215
57,96,4.1081039903097345
58,96,4.063571198859412
59,96,4.050226196058684
60,96,3.9845690898393507
61,96,3.997325643389173
62,96,4.018775606828667
63,96,4.050639117980079
64,96,4.034885966443637
65,96,3.9689933818803182
66,96,4.059837723075763
67,96,4.07908188264074
68,96,4.00942541572574
69,96,4.0367231552361345
70,96,4.050513470615449
71,96,4.004298924007948
72,96,3.8965851284507407
73,96,4.119314577318652
74,96,4.055051187839997
75,96,4.023675766728839
76,96,3.9443388420029053
77,96,3.995840414043616
78,96,4.089577323576406
79,96,4.00107439199811
80,96,4.047365303312126
81,96,3.984903296181129
82,96,4.003061314109016
83,96,4.026350944280496
84,96,4.08568822128024
85,96,3.9853269817621335
86,96,3.9777000292344167
87,96,4.025454299324517
88,96,4.055115514216405
89,96,4.015648086562177
90,96,3.9703543099081924
91,96,4.077354836095196
92,96,4.099293947203758
93,96,3.984029232083673
94,96,4.040643290485982
95,96,4.122292986053125
96,96,4.041161502091133
97,96,3.9643130990306368
98,96,4.113918956950809
99,96,4.107751783323513
100,96,4.111499263468799
101,96,4.043408388576461
102,96,4.049424343594092
103,96,4.004827314154967
104,96,4.057452691409091
105,96,4.078509802004948
106,96,4.007365638046744
107,96,4.067293499121341
108,96,4.075574563160294
109,96,3.973275793409422
110,96,3.973507259246734
111,96,4.014453020993544
112,96,4.046213623477058
113,96,4.012286938803144
114,96,4.050903438316361
115,96,4.034514745204627
116,96,3.9940770575297377
117,96,3.8946921361499847
118,96,4.049559789337424
119,96,3.934307828296423
120,96,3.998574518136025
121,96,4.111009851309097
122,96,4.013231594292046
123,96,4.057681405121754
124,96,4.065798681544842
125,96,4.01495732875825
126,96,4.059544492396931
127,96,4.102631145532726
128,96,4.044562410118248
129,96,4.056942247713456
130,96,4.045682945791632
131,96,4.083331344114955
132,96,3.9248761604686733
133,96,4.045264061219887
134,96,4.080243525171728
135,96,4.018083015311348
136,96,3.94562849760259
137,96,4.0519528328569745
138,96,4.037303311834481
139,96,4.023225594083888
140,96,3.969895953936571
141,96,4.029104370574405
142,96,4.034017122051833
143,96,4.078915331661493
144,96,4.03975502364085
145,96,4.026305803893358
146,96,4.008809365603894
147,96,3.9807647669777126
148,96,4.102917888090837
149,96,4.078116309181494
150,96,4.078854817277845
151,96,4.0302457621204315
152,96,4.13255585772424
153,96,3.988183328682082
154,96,4.025095587421292
155,96,3.9742837495612133
156,96,3.929767616237025
157,96,4.069696093211098
158,96,4.016737213941884
159,96,4.034645025903858
160,96,4.158449868195445
161,96,4.027855250837602
162,96,4.0108792288396256
163,96,3.988632913647113
164,96,4.020847276677403
165,96,4.048873329550341
166,96,4.16157047658869
167,96,3.9977586182915674
168,96,3.9933842407103777
169,96,4.048851870715902
170,96,4.131124505061898
171,96,3.9809299368143236
172,96,4.0381271484487
173,96,4.04644383551981
174,96,3.9646207924054355
175,96,4.0583140696020195
176,96,4.106243155998264
177,96,4.004723282672677
178,96,4.0113909024842895
179,96,4.082088424643214
180,96,4.047202290997086
181,96,4.136858499402116
182,96,4.058221324195134
183,96,4.0520082247252684
184,96,4.074193480851452
185,96,3.9658146164033976
186,96,4.087185471699778
187,96,4.02796773048697
188,96,4.103140609728584
189,96,4.081634526572984
190,96,3.9489014736847157
191,96,3.9812058578178378
192,96,4.023273834012178
193,96,4.078782137889221
194,96,4.04707057333985
195,96,3.9827339695302015
196,96,4.09404708624703
197,96,4.081451258752676
198,96,3.901267545086222
199,96,3.9574256624502384
200,96,3.9849931524109534
201,96,3.976149832122589
202,96,4.115645729137951
203,96,4.086682056253683
204,96,4.032524412090556
205,96,4.041113886583014
206,96,3.9390465393404153
207,96,4.0192211140319625
208,96,4.061360208398927
209,96,4.07719879133809
210,96,4.002581592191111
211,96,4.029175359162246
212,96,4.050326811863526
213,96,3.9868625957800394
214,96,4.040624448001385
215,96,4.010431309685004
216,96,4.062218885766448
217,96,4.0239671106430865
218,96,4.047086278507856
219,96,4.041852188900358
220,96,4.014505780323042
221,96,3.982970702334815
222,96,4.078153869471553
223,96,4.024258470060934
224,96,4.018192988962355
225,96,4.064869364370573
226,96,4.011136310308579
227,96,4.035006809876263
228,96,3.9742546642454673
229,96,3.941280051076979
230,96,4.056663248837459
231,96,4.099240542121233
232,96,3.9941989645014764
233,96,4.098399896783919
234,96,3.9287137253898545
235,96,4.014446288415634
236,96,3.964486475313056
237,96,3.980917480719519
238,96,4.030558921744457
239,96,4.009969805471863
240,96,4.1121860859772585
241,96,4.061905669617849
242,96,3.930380432348527
243,96,4.127335174617327
244,96,4.052851948247474
245,96,4.060163564632365
246,96,3.9906143831134666
247,96,4.115096124640935
248,96,3.963849306422759
249,96,4.005712484355249
250,96,3.9859809352146107
251,96,4.158053884004135
252,96,4.033649671972929
253,96,4.081824146577075
254,96,4.074347289304782
255,96,4.0084750230801465
256,96,3.917068047891492
257,96,3.969684719674877
258,96,4.08340555579666
259,96,4.090781800221569
260,96,4.06888057888246
261,96,4.091082871935244
262,96,4.07701986820383
263,96,4.037863278443764
264,96,4.0177567385982815
265,96,4.052811932974816
266,96,4.079955150153762
267,96,4.047303975291269
268,96,4.050914574327743
269,96,4.046321778197967
270,96,4.023901766130617
271,96,4.108245880066157
272,96,4.124701703839493
273,96,4.059438551484906
274,96,4.011852827238837
275,96,3.9285712490205107
276,96,4.059381309825632
277,96,4.04400720192141
278,96,4.100959343736914
279,96,4.077482908742479
280,96,3.999899781262656
281,96,4.112262522542583
282,96,3.9636482763012433
283,96,4.074197018069013
284,96,4.026543007021511
285,96,4.038745927648623
286,96,4.007712685500843
287,96,3.996957786260197
288,96,4.076667187731388
289,96,4.059627803594954
290,96,3.9528333660469865
291,96,4.027301591777835
292,96,3.972515943100695
293,96,4.099606902854199
294,96,4.035291648544755
295,96,4.102172686823959
296,96,4.063877299673848
297,96,4.035817107062912
298,96,4.046125542636159
299,96,3.9528594099699763
300,96,4.081077533233186
301,96,3.987277272564109
302,96,4.053154236815452
303,96,4.0013684327687065
304,96,4.065615711577293
305,96,4.006962088799059
306,96,4.0293556718736685
307,96,4.19411188908499
308,96,4.018380000312838
309,96,3.9036096903081425
310,96,4.0989479179363055
311,96,4.0542725280726835
312,96,3.954944112347418
313,96,4.104433809042515
314,96,3.953576438655074
315,96,3.979504359157492
316,96,3.9712195940466026
317,96,4.020288543202116
318,96,4.017859228877787
319,96,4.044675064534619
320,96,4.01730613566882
321,96,4.076928091069369
322,96,4.055714186531459
323,96,4.0475891119435605
324,96,3.9411470321839035
325,96,4.052635864234309
326,96,4.055855344113045
327,96,4.0031542700582055
328,96,4.054018145045532
329,96,3.9939782735864795
330,96,4.019853013219457
331,96,4.058309021148133
332,96,4.043269928045676
333,96,3.98359863989474
334,96,4.01722623393241
335,96,4.059693125459474
336,96,3.994266391909765
337,96,4.0632572815662815
338,96,4.0350035079190345
339,96,4.0222051931330975
340,96,4.019330524881733
341,96,4.0271022937253225
342,96,4.125522962930061
343,96,4.1028311034775875
344,96,3.976393020471436
345,96,4.0769033163252395
346,96,4.0726606683757485
347,96,3.9881986803946554
348,96,4.129433223158529
349,96,4.076074852423725
350,96,4.019131937412908
351,96,4.016574169715852
352,96,4.003080860855343
353,96,3.964578056750619
354,96,3.9914034063724326
355,96,4.088920505037523
356,96,3.9885290576777748
357,96,4.014055369377434
358,96,4.123665739821538
359,96,4.040738625557613
360,96,3.9817466977973623
361,96,3.922626415000816
362,96,4.013324333484101
363,96,4.059740431438975
364,96,3.964720739220748
365,96,4.036946264668959
366,96,4.034165782754164
367,96,4.028094499626452
368,96,4.0363187136199965
369,96,4.067226165033164
370,96,4.0013806576707625
371,96,4.013069722151904
372,96,3.951648818481849
373,96,4.0789718228246254
374,96,4.035087402353339
375,96,4.037796503037807
376,96,3.921793163646447
377,96,4.104227294479253
378,96,4.04947035710166
379,96,4.036119262851443
380,96,4.020530970462283
381,96,3.9977908839095724
382,96,4.013599435513113
383,96,4.0599662470296884
384,96,4.049904488717386
385,96,4.013055843310371
386,96,4.003397808817287
387,96,4.068197592288097
388,96,4.0106405107233885
389,96,4.132314048651396
390,96,4.009906149565298
391,96,4.1188951860048775
392,96,4.060093391929
393,96,4.115628672496967
394,96,4.043696760654402
395,96,4.102006549886809
396,96,4.055732395463397
397,96,4.041753745738176
398,96,3.9951461292171624
399,96,4.050243977540671
