floor_rate,static_content_decile,transactions,affected_transactions,runtime_bal_bytes,bal_floor_bytes,incremental_data_gas,regular_branch_gas,transaction_share,affected_fraction_within_group,affected_transaction_share_of_all,runtime_bal_byte_share,incremental_gas_share,incremental_gas_as_share_of_group_regular_branch,incremental_gas_as_share_of_all_regular_branch
96,D1,189975,22,128604,128604,26368.492774590002,4269815148.8433475,0.10000010527712097,0.00011580471114620345,1.1580483306206929e-05,0.00017869964758538063,3.970716810375359e-06,6.175558391967618e-06,1.0920070663616724e-07
96,D2,189975,18,105400,105400,19301.78507625689,4304174909.19585,0.10000010527712097,9.4749309119621e-05,9.474940886896578e-06,0.0001464568975731635,2.9065719883087688e-06,4.484433249917124e-06,7.993511755430446e-08
96,D3,189975,13,101348,101348,15973.75866753828,4346661586.813625,0.10000010527712097,6.843005658639294e-05,6.84301286275864e-06,0.0001408265052679789,2.4054189448095814e-06,3.6749487735593526e-06,6.615265229765883e-08
96,D4,189974,30,210256,210256,27367.936100225055,4478270464.551484,0.09999957889151614,0.0001579163464474086,1.579156814482763e-05,0.0002921578885782074,4.121218640269133e-06,6.111273608162043e-06,1.1333973416174965e-07
96,D5,189975,1639,28291317,28291317,96223268.9690159,8634297428.631517,0.10000010527712097,0.008627450980392156,0.0008627460063124161,0.039311750626934525,0.014489844183006471,0.01114430789121735,0.0003984925894734573
96,D6,189975,2104,54717463,54717463,21846039.677367806,11575591978.68489,0.10000010527712097,0.011075141465982366,0.0011075153125572445,0.07603178248628428,0.0032897002391673565,0.0018872503209852898,9.047172283844747e-05
96,D7,189974,2350,51271814,51271814,28103258.526442878,11138326283.531801,0.09999957889151614,0.012370113805047007,0.001237006171344831,0.07124393559191926,0.004231947650978563,0.0025231132408101574,0.00011638494911714468
96,D8,189975,11326,76275364,76422397,90512844.43617648,17397056279.583366,0.10000010527712097,0.059618370838268195,0.005961843360277258,0.10598722175240761,0.013629936152587091,0.005202767812069418,0.00037484382048581593
96,D9,189975,34349,173397625,173650228,615844764.0070493,41786642862.3406,0.10000010527712097,0.1808080010527701,0.018080819140222807,0.24094191844454282,0.09273738844037736,0.014737837783136856,0.0025504181821328657
96,D10,189975,77120,335166470,338491313,5788119508.681474,133537314563.8758,0.10000010527712097,0.40594815107250953,0.04059485784430356,0.46572525015890676,0.8716077794074997,0.04334458520141053,0.0239705297472176
