floor_rate,state_creating_status,transactions,affected_transactions,runtime_bal_bytes,bal_floor_bytes,incremental_data_gas,regular_branch_gas,transaction_share,affected_fraction_within_group,affected_transaction_share_of_all,runtime_bal_byte_share,incremental_gas_share,incremental_gas_as_share_of_group_regular_branch,incremental_gas_as_share_of_all_regular_branch
96,no state creation,1498669,66724,365066264,366074636,2356928649.757492,129793207328.60542,0.788877788001356,0.04452217267455322,0.035122553096515956,0.5072720344787994,0.3549196493879953,0.018159106306621358,0.009760826158883386
96,state-creating,401079,62247,354599397,357315504,4283810046.512653,111674944177.44687,0.21112221199864403,0.15519885109916,0.03276592474370285,0.4927279655212006,0.6450803506120051,0.03835963454529116,0.017740683480592597
