floor_rate,m_data_block,m_data_without_bal,incremental_m_data_bal,change_in_m_data_from_64,total_floor_uplift_equivalent,payment_floor_uplift_equivalent,payment_bal_increment_equivalent,static_floor_bound_tx_share,newly_bound_by_bal_tx_share,bal_affected_tx_share,payment_floor_bound_tx_share,deployment_share_of_bal_uplift,state_creating_share_of_bal_uplift,m_data_block_p05,m_data_block_p50,m_data_block_p95
40,1.5887467517058966,1.5497675618065714,0.03897918989932529,-0.5727550538231463,0.30333649770468657,0.23228098835469388,0.012844464595010827,0.022246292890171437,0.0007254075114362829,0.005323221210973915,0.021145608051965824,0.49234920800872944,0.7410088886757201,1.5591940527202772,1.587657037236569,1.6172304115490137
50,1.7634340839660732,1.6938125977395844,0.06962148622648873,-0.39806772156296977,0.47802382996486553,0.3528326875874143,0.023634694169848453,0.03574812249649229,0.0024530211655656646,0.008342837210725531,0.03547120898279571,0.42205746187723503,0.7306287997031418,1.7454855542216912,1.7625801361481126,1.7811667132580284
64,2.161501805529043,1.977615339474125,0.18388646605491787,0.0,0.8760915515278346,0.5992065825802223,0.05046889600696761,0.06839059591983074,0.00998674575746691,0.0204646872054231,0.0688496410438306,0.24080209446234735,0.7914085524076688,2.1487100625050024,2.160896583860352,2.174181002337072
65,2.2014300642387314,2.0021140776410022,0.19931598659772917,0.039928258709688524,0.9160198102375249,0.6220340201717974,0.05484457740991153,0.06901815596521109,0.010497613138824016,0.02155575495197786,0.06959007921579013,0.22759253207933294,0.7899321465326773,2.1872602354597057,2.200914925335982,2.2150947282483417
66,2.243332058622386,2.027248956103155,0.21608310251923096,0.08183025309334324,0.9579218046211787,0.6461454051213592,0.060376688497667474,0.06963954223561919,0.010926978659788068,0.0225180502010236,0.07032066752151962,0.21492523314465295,0.7853840848622895,2.2272888095443024,2.242774319798275,2.25802551837516
67,2.2871073920400034,2.0530920595832036,0.23401533245679992,0.12560558651096043,1.0016971380387962,0.6714869404011271,0.06702183226399054,0.07013403090461674,0.011815776161274383,0.023830283527806678,0.07144541747808181,0.20309408098305698,0.7788290090223763,2.2700626071933403,2.2864711612772695,2.303238265053866
68,2.3327944689336553,2.0798118575932985,0.2529826113403567,0.17129266340461236,1.047384214932443,0.6982326791507814,0.07494650305474006,0.07076476449481235,0.01225841922939016,0.024803711215598507,0.07222396718371202,0.19216357788618543,0.7701784640392467,2.313671108769456,2.3320629889831874,2.3506436369207404
69,2.3803814974406614,2.1070298163495322,0.27335168109112934,0.2188796919116185,1.0949712434394512,0.7265342906171045,0.08432517159392916,0.07136529567511213,0.012669629948135142,0.025708076645708167,0.07292823764756318,0.1818223260514404,0.7601260755715022,2.358846914554557,2.3796871046604835,2.399360701880994
70,2.42935267982476,2.134791118706374,0.2945615611183862,0.2678508742957173,1.143942425823556,0.7562452251368058,0.09502546707142205,0.07215867864900966,0.013054487075641953,0.026776770504915757,0.07385119024894635,0.17242803041520088,0.7495658630755224,2.406072103173005,2.428636877605659,2.4502615413753777
71,2.4791563099864544,2.163163411801693,0.3159928981847614,0.3176545044574115,1.1937460559852504,0.7870960748792125,0.10674121020319419,0.07280720345501916,0.013831719413691332,0.028077791525799728,0.07497317590644517,0.16418554319411005,0.7393974229383834,2.4548357879953415,2.478556842908867,2.501749753483978
72,2.5297123127871743,2.1922290363786505,0.33748327640852405,0.3682105072581314,1.2443020587859672,0.8188284669270132,0.11918135663714377,0.07328680468115475,0.014723493875217398,0.029322894675293348,0.07578776904160836,0.15697108514348695,0.7298340998613567,2.5026569546990354,2.529344485703894,2.5532873909235647
73,2.5811064010521862,2.2220359616010557,0.3590704394511308,0.41960459552314333,1.2956961470509782,0.8513265743807603,0.13215686716984365,0.0744122211026822,0.016268164401234176,0.031231412863136156,0.07762986484544236,0.15058858281894474,0.7210282528507682,2.552039321729519,2.580965766558192,2.607083351319566
74,2.633485991067783,2.25265050108891,0.38083548997887307,0.4719841855387399,1.3480757370665755,0.8845027882010954,0.14558785192235932,0.07492443976579725,0.01746918381855749,0.03281462589713918,0.07857245001159728,0.14487550336765898,0.7127379711079347,2.6020048323165845,2.633332082249497,2.6615718339070464
75,2.6868501979892567,2.284094551842576,0.40275564614668047,0.5253483924602138,1.4014399439880536,0.9182939395529186,0.1593643835073562,0.07539177419002915,0.01847371469734318,0.0342164492485186,0.07935738108807171,0.1397195857193428,0.7050218525575745,2.653230851229298,2.6868585642504406,2.718032802357722
76,2.741198959017473,2.3164281963750732,0.42477076264239966,0.5796971534884299,1.4557887050162683,0.9526377244388397,0.17330673287065473,0.07582391641589194,0.019472751626252276,0.03557446561328548,0.08008534478884823,0.13506399215439685,0.6981189217717252,2.705345505712452,2.7412583631389102,2.774344964050759
77,2.7965456058107008,2.349624754364244,0.44692085144645705,0.6350438002816579,1.511135351809493,0.9874572442285584,0.18730663936820452,0.07636713939035461,0.020307171782150735,0.036837378330420396,0.08077704226890667,0.13082719296408366,0.6920174664336582,2.7585884240081944,2.796752838056905,2.8320044944817324
78,2.8527721305450795,2.383814612442545,0.4689575181025345,0.6912703250160366,1.567361876543869,1.0227398057537478,0.20122325657217752,0.07689775965106414,0.0212148110314608,0.03815505723166294,0.08142406347299047,0.1270227428163753,0.6866951503636123,2.8134804072005135,2.853316654858922,2.890889414931538
79,2.9098833373307404,2.418961442262216,0.4909218950685244,0.7483815318016975,1.6244730833295316,1.0585233331438464,0.2151073324726653,0.0774077868123538,0.02218435018724035,0.0395478105226638,0.08209671315090668,0.12358661035634944,0.6818587610722809,2.8689191693688176,2.910593867395819,2.9509750421582357
80,2.9679659571659913,2.455168257465458,0.5127976997005336,0.8064641516369484,1.6825557031647853,1.094812797612183,0.22883030148475955,0.07808998039483306,0.023231016861824733,0.041042956146489375,0.08298344856765473,0.12045693513791504,0.6775835976157376,2.924779593859375,2.968768498761861,3.0110593599016133
81,3.0271211899142436,2.4924341760570217,0.534687013857222,0.8656193843852007,1.74171093591304,1.1317132990426093,0.24230997153050526,0.07869678731285827,0.024329008385835477,0.04263616791674666,0.08381975272215801,0.11759542908232631,0.6739492964878031,2.98110684873634,3.028139522160651,3.0725898570886363
82,3.0874605142255307,2.530600555900248,0.5568599583252829,0.9259587086964878,1.8020502602243256,1.1692312595482284,0.2555698012963044,0.07927554955545055,0.02584713336049908,0.044574266240720556,0.08497767544199794,0.11491595107009113,0.6708683249428775,3.0384214046230413,3.0885364698930706,3.135005902237305
83,3.1488896635484833,2.5694604718664515,0.5794291916820317,0.9873878580194404,1.8634794095472818,1.2073829428226053,0.26862685234620454,0.07971511171877595,0.027157445985022448,0.04619569189025978,0.08599012050966283,0.1123778031491935,0.6682726048520082,3.0970420355738884,3.1505391537975385,3.1989970204918965
84,3.2112487378744277,2.608657346057795,0.6025913918166329,1.0497469323453847,1.9258384838732217,1.246181848948854,0.2817919800751056,0.08024777218884548,0.028256664438808407,0.04762125729442556,0.08702873528325493,0.1099381537757262,0.6658545642361783,3.1567108863337423,3.2134721945042255,3.2638865590355413
85,3.274452060763763,2.6480865171853596,0.6263655435784035,1.1129502552347201,1.989041806762558,1.2855772532387457,0.2950822961663668,0.08068258225656666,0.029435674509484783,0.0490724085961841,0.0879909614560222,0.1075844555964036,0.6635981915052566,3.2176598395492024,3.2771207948899788,3.3295694559263813
86,3.3385471983171064,2.6877239355371416,0.6508232627799649,1.1770453927880635,2.053136944315904,1.3255878602001918,0.3085794833475828,0.0812526007342722,0.030659006592458928,0.0506325910410469,0.08903476671367234,0.1053020033393143,0.661495427257,3.2795234519958294,3.34132375958502,3.3963391427117733
87,3.4035404305756747,2.727572507893706,0.6759679226819685,1.2420386250466318,2.11813017657447,1.3662202906026646,0.3223835555842275,0.08171209679937588,0.031697490407410434,0.05203276749943198,0.08987797291706792,0.10308942927129633,0.6594670105888075,3.3422589452637785,3.406308421190879,3.4636551775149713
88,3.4693950541777,2.7675953406098954,0.7017997135678047,1.3078932486486572,2.1839848001764928,1.4073837515330463,0.33646125708794444,0.0821874413558408,0.03297835231288981,0.05362784968794178,0.09091452421118291,0.10094934229859151,0.6575133290238806,3.405860494231275,3.4720980755205026,3.532036078250728
89,3.536166747247089,2.807813528006695,0.7283532192403936,1.3746649417180459,2.2507564932458837,1.4490840353030605,0.35086454163635117,0.08268545328207727,0.03432314001977326,0.05527848777639754,0.09199305024545887,0.09887757597310032,0.6556182663327575,3.470369880201766,3.5386838677342602,3.601767591280951
90,3.603936225963885,2.848259971435019,0.7556762545288657,1.442434420434842,2.318525971962677,1.4913565254035714,0.36565550907331296,0.08312660199758837,0.03585279038251207,0.057102363812543334,0.09308730709917858,0.09687280649064291,0.6537679310197297,3.535842489362593,3.6064897575898422,3.6718372921102773
91,3.6727999233634065,2.888885823936659,0.7839140994267475,1.5112981178343636,2.3873896693621997,1.5342238003859405,0.380814373721058,0.08366044924363465,0.03732770421769641,0.05894049694298222,0.09428126172360388,0.09492268276830153,0.6520320689990976,3.601928702334661,3.675502119728442,3.74330747071406
92,3.74282737362638,2.929679791927387,0.813147581698993,1.5813255680973373,2.4574171196251724,1.577678126091302,0.39635029908640274,0.08403939752315016,0.03875690232939999,0.06068078179988475,0.0953318541477066,0.09301307918160612,0.6504454241017399,3.6693368759860636,3.7456887612849785,3.8162209385954213
93,3.8138755114902265,2.9706771765659346,0.8431983349242919,1.6523737059611836,2.528465257489018,1.6216820498053497,0.4121898040930112,0.08467522374545995,0.04002821688017278,0.06237205333013776,0.09649833571941994,0.09116529948687248,0.6489848563092193,3.737787828202476,3.8168322524013014,3.88970707316719
94,3.8858337544460557,3.011883092575067,0.8739506618709889,1.7243319489170128,2.6004235004448497,1.66622935130845,0.42834496722433496,0.08522022552585257,0.041270755912336705,0.06404161692415769,0.09760895029100866,0.08938317624572435,0.6476284414325112,3.807040752732158,3.889205836365803,3.9640920721765984
95,3.958690614701925,3.053313321105817,0.905377293596108,1.7971888091728823,2.6732803607007183,1.7113705495043852,0.44488759325992305,0.08576659444398209,0.04270384806160079,0.06588998354742742,0.09880178897751107,0.08767744900812395,0.6463386490779001,3.877158952262713,3.9623161715672843,4.039395547770527
96,4.032547620151323,3.094981082605996,0.9375665375453273,1.8710458146222804,2.7471373661501146,1.757137063507429,0.46185733614632907,0.08626195673337299,0.044306059421219256,0.06788379765246792,0.10012713123485537,0.08602976104788276,0.645117574551164,3.9481599342277907,4.035968184957177,4.115739795221055
