data_limit_hit_ci95_halfwidth,rationed_data_ci95_halfwidth,execution_fill_ci95_halfwidth,n_replications,design,calibration,frontier_position,data_limit_family,execution_target,data_target,data_limit,execution_fill,data_fill,included_execution,fee_sd_execution,fee_sd_data,data_limit_hit_fraction,longest_data_limit_run,execution_floor_bounded_fraction,rationed_data,rationed_execution,mean_data_fee_wei,pareto_nondominated
0.00030011265851196837,25992.461246211184,0.011183341448540747,32,E200_D30_fixed90M,central35,below,fixed90M,200000000.0,30000000.0,90000000.0,0.9273061190899963,0.9999421932573775,185461223.81799924,0.06653159917065153,0.03885470851078325,0.006017485119047619,3.5,0.44845238095238094,233230.67520457561,737684.3161605748,7795.802082093254,True
0.0011724651519948517,43983.51867729536,0.0111150471910808,32,E200_D30_matched2x,central35,below,matched2x,200000000.0,30000000.0,60000000.0,0.9287416718386913,0.9999641034611956,185748334.36773825,0.06666864905464191,0.0528999233776572,0.045712425595238096,7.53125,0.445460689484127,857946.3001243011,2769952.2431272394,7476.613236607143,True
0.0005139138240690095,38568.02796582568,0.0076690145817367075,32,E200_D35_fixed90M,central35,near,fixed90M,200000000.0,35000000.0,90000000.0,0.9741801729481437,0.999945573968787,194836034.58962876,0.07294935067148449,0.044835306970433884,0.014153645833333334,4.90625,0.18254464285714286,472654.66127315955,1378347.2599352852,3526.7125006200395,True
0.0011751899892944167,54261.89381744701,0.0076210823937791355,32,E200_D35_matched2x,central35,near,matched2x,200000000.0,35000000.0,70000000.0,0.9744303790712404,0.9999590404488244,194886075.81424809,0.07298910903497638,0.053466444915106284,0.04864893353174603,8.1875,0.1816703869047619,1108234.1523625674,3338916.1408464424,3366.6719990079364,True
0.0012302821173840526,78468.04364642387,0.0025854368387468714,32,E200_D45_fixed90M,central35,above,fixed90M,200000000.0,45000000.0,90000000.0,0.993825030951077,0.9999502152089342,198765006.1902154,0.06031992617794628,0.05525029867391866,0.05425223214285714,8.375,0.03755642361111111,1675596.0187532792,3908070.7239177777,918.6393061755952,True
0.0012302821173840526,78468.04364642387,0.0025854368387468714,32,E200_D45_matched2x,central35,above,matched2x,200000000.0,45000000.0,90000000.0,0.993825030951077,0.9999502152089342,198765006.1902154,0.06031992617794628,0.05525029867391866,0.05425223214285714,8.375,0.03755642361111111,1675596.0187532792,3908070.7239177777,918.6393061755952,True
0.0012346132529596915,73738.17064056777,0.01052574734921393,32,E250_D45_fixed90M,central35,below,fixed90M,250000000.0,45000000.0,90000000.0,0.9349833899297061,0.9999597521872285,233745847.48242652,0.07853295951366807,0.0544449147139474,0.05081597222222222,8.25,0.4321385168650794,1505369.1206068192,3935990.2193184486,998.284646577381,True
0.0012346132529596915,73738.17064056777,0.01052574734921393,32,E250_D45_matched2x,central35,below,matched2x,250000000.0,45000000.0,90000000.0,0.9349833899297061,0.9999597521872285,233745847.48242652,0.07853295951366807,0.0544449147139474,0.05081597222222222,8.25,0.4321385168650794,1505369.1206068192,3935990.2193184486,998.284646577381,True
0.0018659722115404818,117331.40607042951,0.007706009227894588,32,E250_D52_fixed90M,central35,near,fixed90M,250000000.0,51500000.0,90000000.0,0.9664589769901382,0.9999618419939001,241614744.24753454,0.09505358551023778,0.06042202458646896,0.09935701884920635,10.5625,0.2710435267857143,3123420.1755074966,8369894.825370306,456.570873015873,True
0.0012346268360553501,88147.707323927,0.0075985290719534524,32,E250_D52_matched2x,central35,near,matched2x,250000000.0,51500000.0,103000000.0,0.9681329768751316,0.9999564239495106,242033244.2187829,0.09601221580643549,0.056498916946492526,0.053147321428571426,8.3125,0.2578937251984127,1852958.8467061743,4490293.591054304,507.0050657242063,True
0.0035026348800912314,241291.24004595482,0.0051016008023055505,32,E250_D60_fixed90M,central35,above,fixed90M,250000000.0,60000000.0,90000000.0,0.9791186275801756,0.9998664254862161,244779656.8950439,0.10504284168858626,0.07259598751113747,0.1926370287698413,14.4375,0.18593129960317462,7321950.513288419,19416983.069983296,141.3496403769841,False
