data_limit,execution_target,data_target,target_ratio,included_execution,execution_fill,data_limit_hit_fraction,data_limit_hit_ci95,longest_data_limit_run,rationed_data,execution_floor_fraction,data_fee_sd,execution_used,execution_utilisation,execution_limit_hit_fraction,execution_rationed,execution_fee_wei,execution_fee_sd,execution_price_sd,execution_price_p95,execution_price_p99,data_used,data_utilisation,data_rationed,data_floor_fraction,data_fee_wei,data_price_sd,data_price_p95,data_price_p99,state_used,state_utilisation,state_limit_hit_fraction,state_rationed,state_floor_fraction,state_fee_wei,state_fee_sd,state_price_sd,state_price_p95,state_price_p99
90000000.0,150000000.0,22500000.0,0.25,148921153.41966993,0.9928076894644662,0.0001909722222222222,4.5926069698343194e-05,1.28125,9942.860755893107,0.11804129464285715,0.02540103741625114,148921153.41966993,0.9928076894644662,0.021651785714285714,502632.8713664623,286.0212996031746,0.05999147865315204,0.02975599361274224,0.0675,0.09,22501260.801632114,1.0000560356280939,9942.860755893107,0.0,19363.74150731647,0.02540103741625114,0.057187499999999995,0.07875000000000001,75001186.08205843,1.0000158144274458,0.0,0.0,0.0,5971037.822998513,0.18444336149771917,0.18443349646833906,0.33999999999999997,0.7065625
90000000.0,150000000.0,29970000.0,0.333,150001446.04522884,1.0000096403015255,0.0012549603174603174,9.303950538307648e-05,1.875,31948.362267523502,0.0,0.03472917499013319,150001446.04522884,1.0000096403015255,0.021496775793650794,467427.296431518,914.5436867559524,0.046586067535028995,0.04357115822029633,0.1,0.12,29971231.44577152,1.0000410892816656,31948.362267523502,0.0,3672.7057390873015,0.034729174990133185,0.07,0.10750000000000001,75001185.98432514,1.0000158131243353,0.0,0.0,0.0,5971177.6878143605,0.18444353726820906,0.18444177236163942,0.33999999999999997,0.7065625
90000000.0,150000000.0,36000000.0,0.4,150001384.94370335,1.0000092329580224,0.005922619047619048,0.00027745310326638366,2.5625,100069.11058720484,0.0,0.041980723895223206,150001384.94370335,1.0000092329580224,0.021599702380952383,459386.30641367874,1023.3497377232143,0.046508964426235255,0.04565404173890577,0.1,0.12,36001233.292239755,1.000034258117771,100069.11058720484,0.0,1331.847201140873,0.0419807238952232,0.09,0.13156250000000003,75001185.9680328,1.0000158129071042,0.0,0.0,0.0,5971198.437690352,0.18444356248251642,0.18444294626101343,0.33999999999999997,0.7065625
90000000.0,150000000.0,45000000.0,0.5,150001296.15869078,1.0000086410579385,0.03289124503968254,0.0007155863935766808,4.65625,553257.1152533574,0.0,0.051203782946760465,150001296.15869078,1.0000086410579385,0.021471974206349206,456696.9476456402,1067.8675607638888,0.046492864500619395,0.04634477075401465,0.1003125,0.12,45001195.05949969,1.0000265568777709,553257.1152533574,0.0,393.7155233134921,0.051203782946760465,0.11,0.12,75001185.96147987,1.0000158128197316,0.0,0.0,0.0,5971206.7152833585,0.1844435663732069,0.18444339274534155,0.33999999999999997,0.7065625
90000000.0,150000000.0,52470000.0,0.583,150001275.74560878,1.0000085049707252,0.08404141865079365,0.0012700346962085827,7.28125,1687958.785839269,0.0,0.05684783004380976,150001275.74560878,1.0000085049707252,0.021448412698412696,455687.7124109869,1078.8861520337302,0.0464884668576956,0.04645133929799626,0.100625,0.12,52471123.229960255,1.000021407089008,1687958.785839269,0.0,163.98698784722222,0.056847830043809736,0.11,0.13,75001185.96021786,1.0000158128029049,0.0,0.0,0.0,5971208.738464781,0.18444356963033454,0.1844434994687197,0.33999999999999997,0.7065625
90000000.0,150000000.0,60030000.0,0.667,150001268.09000182,1.0000084539333456,0.1698170882936508,0.0019993888294878807,13.25,4241180.074017944,0.0,0.06122894985653114,150001268.09000182,1.0000084539333456,0.02142733134920635,455162.1568360546,1083.4027027529762,0.046483317878629374,0.046470932138218124,0.100625,0.12,60031148.07254282,1.0000191249798904,4241180.074017944,0.0,70.23033358134921,0.06122894985653113,0.1196875,0.15031250000000002,75001185.95951235,1.000015812793498,0.0,0.0,0.0,5971209.560040923,0.18444357061635766,0.18444354116249514,0.33999999999999997,0.7065625
90000000.0,150000000.0,67500000.0,0.75,150001264.49864653,1.0000084299909768,0.29417286706349205,0.0022999059883180655,15.40625,9382852.700208418,0.0,0.0691870935994336,150001264.49864653,1.0000084299909768,0.021419270833333334,454866.286909743,1085.3807056051587,0.04648348465896828,0.04647660941409924,0.100625,0.12,67501290.77419738,1.000019122580702,9382852.700208418,0.00016617063492063494,29.349756324404762,0.0691870935994336,0.14250000000000002,0.198125,75001185.95928833,1.000015812790511,0.0,0.0,0.0,5971209.921913442,0.18444357171368408,0.18444355945763707,0.33999999999999997,0.7065625
90000000.0,150000000.0,76950000.0,0.855,150001265.89968634,1.0000084393312423,0.5376965525793651,0.002405369554503737,25.25,25227626.556916565,0.0,0.11565922972443889,150001265.89968634,1.0000084393312423,0.021417410714285712,454712.4886866101,1086.4333444940476,0.0464812927721489,0.046477894294759944,0.100625,0.12,76943128.68457854,0.9999107041530674,25227626.556916565,0.03476500496031746,7.657989831349207,0.11565922972443887,0.250625,0.555,75001185.95904423,1.0000158127872565,0.0,0.0,0.0,5971210.110512773,0.1844435718331019,0.18444356855990293,0.33999999999999997,0.7065625
90000000.0,175000000.0,22500000.0,0.25,154183176.1207859,0.8810467206902051,0.00018973214285714286,4.5565728973207666e-05,1.28125,9323.752580876142,0.9776543898809524,0.025307194451371154,154183176.1207859,0.8810467206902051,0.004849330357142858,78397.77932729438,1.0372935267857142,0.03240684987639738,0.025273369861901845,0.055312499999999994,0.0778125,22501172.094583698,1.0000520930926087,9323.752580876142,0.0,20291.156417410715,0.025307194451371154,0.055937499999999994,0.07812500000000001,75001186.08378673,1.0000158144504896,0.0,0.0,0.0,5971029.477519841,0.18444334910089938,0.18443297411741494,0.33999999999999997,0.7065625
90000000.0,175000000.0,29970000.0,0.333,174116008.5565027,0.9949486203228726,0.0009697420634920635,7.383088767656473e-05,1.875,28132.97732966156,0.07624255952380951,0.03421458468155849,174116008.5565027,0.9949486203228726,0.02164186507936508,576139.0729521896,122.72179935515874,0.058030259948636774,0.03756867972664506,0.08,0.1078125,29971318.856917847,1.0000440059031648,28132.97732966156,0.0,4389.639066840278,0.03421458468155849,0.07,0.1028125,75001185.98737837,1.000015813165045,0.0,0.0,0.0,5971171.279496528,0.18444352984916296,0.18444139214638083,0.33999999999999997,0.7065625
