design,window_days,lambda_bal,rho_A,eps_execution,eps_data,eps_state,execution_target,execution_limit,data_target,data_limit,state_target,no_bal_execution_ceiling,regime,execution_fill,execution_fill_ci95,data_fill,state_fill,included_execution,included_data,included_state,execution_floor_bounded_fraction,mean_execution_fee_wei,mean_data_fee_wei,mean_state_fee_wei,data_limit_hit_fraction,any_limit_hit_fraction,rationed_execution,rationed_data,fee_sd_execution,fee_sd_data,fee_sd_state
E200_D45,21,0.0,0.75,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9980282302288084,0.0009614965223595797,0.9991241754458555,0.9999750040717859,199605646.04576164,44960587.8950635,74998125.30538394,0.015168030753968251,65.62462797619048,212.9935943700397,3968748.2567020087,0.05968191964285714,0.07937375992063492,4415794.866536966,1983801.859771001,0.06253937073211027,0.08319713659752395,0.1513453675259287
E200_D45,21,0.0,1.0,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9966204059024726,0.0014350193587010682,0.9996455001484025,0.9999750212835733,199324081.18049452,44984047.50667811,74998126.596268,0.02226934523809524,64.49216021825397,295.3912710813492,3983385.981816096,0.05438368055555556,0.07365823412698413,3932371.5768816196,1687625.0769741046,0.06342062592076389,0.07111467099920475,0.15122705015306315
E200_D45,21,0.0,1.25,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9931885941333103,0.002740132228435399,0.9999112951674382,0.9999748695652231,198637718.82666206,44996008.28253472,74998115.21739173,0.04609002976190476,57.24971850198413,492.9773797123016,4001003.5162524804,0.04942584325396825,0.06714099702380953,3407276.2877608417,1332914.7588189268,0.06607141043768426,0.060067660342629045,0.151051390768111
E200_D45,21,0.5,0.75,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9984665207714519,0.0008183220931505356,0.9990316213235931,0.9999749930438546,199693304.15429038,44956422.95956169,74998124.4782891,0.01306671626984127,65.88607700892857,208.1911799355159,3964365.3323406493,0.06077194940476191,0.08056113591269841,4503471.659060832,2025482.4518676992,0.06245701849197816,0.08490436623245441,0.15116661087836308
E200_D45,21,0.5,1.0,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9973634079285844,0.0011750837661125926,0.9995272865415284,0.9999749580467123,199472681.58571687,44978727.89436878,74998121.85350342,0.018109499007936507,65.3365513392857,270.8062437996032,3975975.887080853,0.05655691964285714,0.07601686507936507,4117311.9815352894,1788766.6144446284,0.06296494387925088,0.07504050889872474,0.15107427562737874
E200_D45,21,0.5,1.25,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9953162754189621,0.0019018766520085537,0.9998425630641388,0.9999748679401728,199063255.0837924,44992915.337886244,74998115.09551296,0.03158110119047619,61.787038690476194,404.8393297371032,3990490.952454737,0.05232018849206349,0.07064608134920636,3669137.931892823,1486554.8370781075,0.06479022872740153,0.06414512681121633,0.15090864958733188
E200_D45,21,1.0,0.75,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9989190821577513,0.0006536286666434929,0.9989327685088348,0.9999749619629487,199783816.43155026,44951974.582897566,74998122.14722115,0.010315600198412697,66.12433345734127,203.03247395833336,3959581.999774926,0.06189546130952381,0.08179935515873016,4596461.563814345,2069836.0450729197,0.06235873102802961,0.0861685012574846,0.15094126004534958
E200_D45,21,1.0,1.0,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9981407711307155,0.0009177542640420114,0.9993786402706355,0.9999749286295482,199628154.22614312,44972038.8121786,74998119.64721611,0.014841889880952381,65.91988157242064,247.479140625,3968040.4467869545,0.058934771825396824,0.07860739087301588,4312809.118079939,1894766.403768828,0.06253881755518381,0.0790972235081425,0.15086832991677035
E200_D45,21,1.0,1.25,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9968469407294802,0.0013522686349264476,0.9997242055259385,0.9999748172700688,199369388.14589608,44987589.24866723,74998111.29525515,0.021647445436507935,64.4480784970238,333.40043030753964,3979172.3138076635,0.05557849702380952,0.0744171626984127,3962433.338009279,1659642.852023994,0.06354511774136126,0.06937281036291781,0.15073575166476502
E200_D45,35,0.0,0.75,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9964364872630564,0.0015442407302113659,0.9999466694637198,0.9999635635081148,199287297.45261133,44997600.12586739,74997267.26310861,0.020441468253968254,96.38894841269843,686.4220672123016,3327365.4664614336,0.05954241071428571,0.07901351686507936,4390204.007718584,1973774.8783412608,0.057549528688310925,0.05663899108472986,0.1500390383403309
