design,stress,start,data_limit,peak_data_fee_multiple,recovery_blocks_median,recovery_fraction,data_limit_hit_fraction,data_offered_limit_pressure_fraction,data_cap_active_fraction,data_scale_determining_fraction,longest_data_limit_run,rationed_data,execution_fill,execution_floor_bounded_fraction
E200_D45,baseline,warm,90000000.0,64.20839438772528,,0.0,0.057737268518518514,0.05811921296296296,0.057737268518518514,0.057737268518518514,5.791666666666667,1837799.0405905975,0.9922339370637219,0.051006944444444445
E225_D45,baseline,warm,90000000.0,57.27572059013601,,0.0,0.055775462962962964,0.05609375,0.055775462962962964,0.055775462962962964,5.708333333333333,1732122.9052965045,0.9678991053595412,0.2472106481481481
E250_D60,baseline,warm,90000000.0,62.960298748325414,,0.0,0.19289351851851852,0.19355324074074076,0.19289351851851852,0.19289351851851852,8.541666666666666,7616289.569591712,0.968566770159351,0.26927083333333335
E300_D77,baseline,warm,90000000.0,23.747916666666665,5872.5,0.3333333333333333,0.5228761574074073,0.5231018518518519,0.5228761574074073,0.5228761574074073,21.291666666666668,32640594.695134584,0.7992954994599798,0.759849537037037
E300_D80,baseline,warm,90000000.0,18.552777777777777,5721.0,0.5833333333333334,0.6000057870370371,0.6001793981481481,0.6000057870370371,0.6000057870370371,27.791666666666668,41778903.29362956,0.7639209071688858,0.8160011574074074
E300_D85,baseline,warm,90000000.0,6.625,4625.0,0.9166666666666666,0.6930034722222222,0.693101851851852,0.6930034722222222,0.6930034722222222,43.416666666666664,57978506.39109223,0.7026957639270874,0.8928414351851851
E200_D45,baseline,cold,90000000.0,52.57923152708512,,0.0,0.05635416666666667,0.056712962962962965,0.05635416666666667,0.05635416666666667,5.791666666666667,1792223.9004200858,0.9756450714786661,0.04868055555555555
E225_D45,baseline,cold,90000000.0,47.624304919236295,,0.0,0.05457175925925926,0.054861111111111104,0.05457175925925926,0.05457175925925926,5.708333333333333,1690848.8439850584,0.9502723060172876,0.23254050925925926
E250_D60,baseline,cold,90000000.0,57.402154512959754,,0.0,0.18975694444444446,0.19040509259259256,0.18975694444444446,0.18975694444444446,8.541666666666666,7481600.644118384,0.9505344907556127,0.257505787037037
E300_D77,baseline,cold,90000000.0,22.07804232804233,5872.5,0.3333333333333333,0.5158506944444444,0.516076388888889,0.5158506944444444,0.5158506944444444,21.291666666666668,32180503.771644935,0.7852802932700317,0.734056712962963
E300_D80,baseline,cold,90000000.0,17.39318853427896,5721.0,0.5,0.592193287037037,0.5923668981481481,0.592193287037037,0.592193287037037,27.791666666666668,41185955.6720094,0.750629255391153,0.7900578703703703
E300_D85,baseline,cold,90000000.0,6.283333333333334,4625.0,0.9166666666666666,0.6843229166666666,0.6844155092592592,0.6843229166666666,0.6843229166666666,43.416666666666664,57239112.797094755,0.6905028402839465,0.8660474537037036
E200_D45,execution,warm,90000000.0,64.24041356860552,,0.0,0.057685185185185194,0.05816550925925926,0.057685185185185194,0.057685185185185194,5.791666666666667,1845603.9685827026,0.9926934016223758,0.04197337962962963
E225_D45,execution,warm,90000000.0,57.3701588225282,,0.0,0.055700231481481476,0.0561400462962963,0.055700231481481476,0.055700231481481476,5.75,1739156.229222171,0.9713269063857297,0.21988425925925925
E250_D60,execution,warm,90000000.0,63.02275448985595,,0.0,0.1927141203703704,0.19357638888888892,0.1927141203703704,0.1927141203703704,8.541666666666666,7618718.187968895,0.9718362877470021,0.24110532407407406
E300_D77,execution,warm,90000000.0,23.974768518518516,5872.5,0.3333333333333333,0.5231076388888889,0.5233680555555555,0.5231076388888889,0.5231076388888889,21.416666666666668,32631829.615135252,0.8114222842036048,0.727013888888889
E300_D80,execution,warm,90000000.0,18.756944444444443,5721.0,0.5833333333333334,0.6009143518518519,0.6011342592592593,0.6009143518518519,0.6009143518518519,27.833333333333332,41816618.767837554,0.7765561819012964,0.7859664351851853
E300_D85,execution,warm,90000000.0,6.75,4625.0,0.9166666666666666,0.6949421296296295,0.6950694444444445,0.6949421296296295,0.6949421296296295,43.625,58190487.001393735,0.7146306593682862,0.8712094907407407
E200_D45,execution,cold,90000000.0,52.59777234751332,,0.0,0.05630787037037036,0.0567650462962963,0.05630787037037036,0.05630787037037036,5.791666666666667,1800027.2238704402,0.9760936133188106,0.039699074074074074
