design,window_days,lambda_bal,rho_A,eps_execution,eps_data,eps_state,execution_target,execution_limit,data_target,data_limit,state_target,no_bal_execution_ceiling,regime,execution_fill,execution_fill_ci95,data_fill,state_fill,included_execution,included_data,included_state,execution_floor_bounded_fraction,mean_execution_fee_wei,mean_data_fee_wei,mean_state_fee_wei,data_limit_hit_fraction,any_limit_hit_fraction,rationed_execution,rationed_data,fee_sd_execution,fee_sd_data,fee_sd_state,sensitivity,is_central,setting,setting_order,central_execution_fill,central_data_limit_hit_fraction,central_execution_floor_bounded_fraction,central_rationed_data,central_fee_sd_data,delta_execution_fill,delta_data_limit_hit_fraction,delta_execution_floor_bounded_fraction,delta_rationed_data,delta_fee_sd_data
E200_D45,21,0.0,1.0,0.1170668159071278,0.2017901574997101,0.4784376616162406,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9966204059024726,0.0014350193587010682,0.9996455001484025,0.9999750212835733,199324081.18049452,44984047.50667811,74998126.596268,0.02226934523809524,64.49216021825397,295.3912710813492,3983385.981816096,0.05438368055555556,0.07365823412698413,3932371.5768816196,1687625.0769741046,0.06342062592076389,0.07111467099920475,0.15122705015306315,elasticity_window,False,21 days,21.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.0027957013989210466,0.00013454861111111133,-0.015287698412698413,12038.710787553573,0.015865014392587744
E200_D45,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9938247045035515,0.0025855445055671215,0.9999502046986487,0.9999635425432623,198764940.90071028,44997759.21143919,74997265.69074467,0.03755704365079365,88.99118489583333,918.6470331101191,3343343.9587258184,0.054249131944444445,0.07337549603174603,3908055.866321873,1675586.366186551,0.06032107014587153,0.05524965660661701,0.14992494489389743,elasticity_window,True,35 days,35.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.0,0.0,0.0,0.0,0.0
E200_D45,60,0.0,1.0,0.0816682106235291,0.2046910570850992,0.279675525753271,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,160896940.00019467,demand_constrained,0.7312484628264511,0.010513332702920639,0.9994081837321235,0.9999555381207907,146249692.5652902,44973368.26794556,74996665.3590593,0.8276469494047618,1.005313740079365,248.55112413194445,3775603.7710137656,0.05995039682539682,0.060585937500000006,2565206.954753982,1925393.8232806125,0.009909912142900983,0.07625388705693933,0.14977839981311536,elasticity_window,False,60 days,60.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,-0.2625762416771005,0.005701264880952378,0.7900899057539681,249807.45709406142,0.021004230450322327
E200_D45,75,0.0,1.0,0.0785108223582338,0.2013910565486362,0.253555905620326,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,151980206.51826182,demand_constrained,0.7007273975232842,0.010171971355917415,0.9989200344027691,0.9999504186846722,140145479.50465682,44951401.54812461,74996281.40135041,0.8536805555555556,1.0019053819444443,208.51502356150797,4471293.111918403,0.06056671626984127,0.06084945436507937,2481222.146533897,1953359.9646916736,0.006095355646549467,0.08357304412474761,0.14976715668298057,elasticity_window,False,75 days,75.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,-0.29309730698026737,0.006317584325396822,0.8161235119047618,277773.5985051226,0.028323387518130606
E200_D45,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9938247045035515,0.0025855445055671215,0.9999502046986487,0.9999635425432623,198764940.90071028,44997759.21143919,74997265.69074467,0.03755704365079365,88.99118489583333,918.6470331101191,3343343.9587258184,0.054249131944444445,0.07337549603174603,3908055.866321873,1675586.366186551,0.06032107014587153,0.05524965660661701,0.14992494489389743,lambda,True,0,0.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.0,0.0,0.0,0.0,0.0
E200_D45,35,0.5,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9953573724178932,0.0019542953929956434,0.9999484727019033,0.9999634349224009,199071474.48357868,44997681.27158565,74997257.61918007,0.027395833333333335,93.43660590277779,849.073363095238,3336227.3592416914,0.05634734623015873,0.07571738591269842,4093340.7501489557,1775648.1757236836,0.05880341929217363,0.05594333674465539,0.1497822532586652,lambda,False,0.5,0.5,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.001532667914341701,0.0020982142857142866,-0.010161210317460319,100061.8095371325,0.0006936801380383814
E200_D45,35,1.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9966852148642271,0.00145505470632623,0.9999472229356822,0.9999633759083847,199337042.97284544,44997625.0321057,74997253.19312885,0.019803447420634918,97.07012648809524,783.4550657242064,3328559.6203726437,0.05872829861111111,0.07829427083333333,4287557.6581345815,1881435.82763398,0.057441753565303094,0.05659739278965364,0.14959491215491677,lambda,False,1,1.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.0028605103606755833,0.004479166666666666,-0.017753596230158736,205849.4614474289,0.0013477361830366297
E200_D45,35,0.0,0.75,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9964364872630564,0.0015442407302113659,0.9999466694637198,0.9999635635081148,199287297.45261133,44997600.12586739,74997267.26310861,0.020441468253968254,96.38894841269843,686.4220672123016,3327365.4664614336,0.05954241071428571,0.07901351686507936,4390204.007718584,1973774.8783412608,0.057549528688310925,0.05663899108472986,0.1500390383403309,rho_A,False,0.75,0.75,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.0026117827595049103,0.005293278769841266,-0.0171155753968254,298188.5121547098,0.0013893344781128539
E200_D45,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9938247045035515,0.0025855445055671215,0.9999502046986487,0.9999635425432623,198764940.90071028,44997759.21143919,74997265.69074467,0.03755704365079365,88.99118489583333,918.6470331101191,3343343.9587258184,0.054249131944444445,0.07337549603174603,3908055.866321873,1675586.366186551,0.06032107014587153,0.05524965660661701,0.14992494489389743,rho_A,True,1,1.0,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,0.0,0.0,0.0,0.0,0.0
E200_D45,35,0.0,1.25,0.1211596378167212,0.2294762749968381,0.3348638470580465,200000000.0,400000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9847349245473378,0.005429477570745788,0.9999611036283255,0.999963536352131,196946984.90946755,44998249.663274646,74997265.22640982,0.11548363095238096,63.06242683531746,1462.109373139881,3361547.4272805057,0.049570312500000005,0.06716889880952381,3405896.9105750653,1336189.4588576478,0.07089523624051561,0.05497728435300291,0.1497576335664153,rho_A,False,1.25,1.25,0.9938247045035515,0.054249131944444445,0.03755704365079365,1675586.366186551,0.05524965660661701,-0.00908977995621374,-0.00467881944444444,0.0779265873015873,-339396.9073289032,-0.0002723722536140949
E225_D45,21,0.0,1.0,0.1170668159071278,0.2017901574997101,0.4784376616162406,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9900066072052621,0.003259415206517347,0.9997252560259478,0.9999750130805035,222751486.621184,44987636.52116765,74998125.98103777,0.07634796626984128,21.011358506944443,310.8719847470238,3989223.463529886,0.052175099206349204,0.07086743551587302,4141558.055924562,1578539.6768617167,0.09049039983481363,0.06763417800429793,0.15120795352069893,elasticity_window,False,21 days,21.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.010453749570883075,0.0001171874999999975,-0.07838107638888889,5042.386114409659,0.012902978108210499
E225_D45,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.979552857634379,0.006286345110972819,0.9999557029275647,0.9999636812711535,220399392.9677353,44998006.63174041,74997276.09533651,0.15472904265873016,23.962557663690475,967.3635825892858,3348981.274027778,0.05205791170634921,0.06998697916666666,4071224.163133328,1573497.290747307,0.08338579148934436,0.05473119989608743,0.1499072648858159,elasticity_window,True,35 days,35.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.0,0.0,0.0,0.0,0.0
E225_D45,60,0.0,1.0,0.0816682106235291,0.2046910570850992,0.279675525753271,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,160896940.00019467,demand_constrained,0.6501113662587781,0.009367238223634907,0.9994082135640111,0.9999555379287183,146275057.40822506,44973369.6103805,74996665.34465387,0.8913485863095238,1.000546875,248.56700644841266,3775585.584731523,0.05995845734126984,0.05999379960317461,2549383.441164812,1924863.4679500074,0.0027575590567356866,0.07624310777583224,0.14977863378661374,elasticity_window,False,60 days,60.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,-0.32944149137560097,0.007900545634920632,0.7366195436507936,351366.1772027004,0.02151190787974481
